customer_id,gender,birth_year,city,acquisition_channel,last_purchase_date,first_purchase_date,frequency,monetary,avg_order_value,recency_days,customer_lifetime_days,n_unique_categories,n_unique_brands,favorite_brand,avg_item_price,avg_line_amount,discount_usage_rate,n_transactions
C00021,F,1996.0,Nha Trang,TikTok,2026-03-19,2025-06-09,16.0,428566200.0,26785387.5,7.0,283.0,6.0,16.0,Samsung,4228031.25,15505551.72413793,0.4375,16.0
C00022,,1971.0,Khác,Shopee,2025-12-17,2024-04-21,9.0,164167050.0,18240783.333333332,99.0,605.0,6.0,11.0,Innisfree,3685450.0,9924600.0,0.5555555555555556,9.0
C00023,M,1998.0,Huế,Facebook,2026-03-11,2024-02-22,14.0,153856500.0,10989750.0,15.0,748.0,6.0,15.0,Generic,2379666.6666666665,5472933.333333333,0.5,14.0
C00024,M,1972.0,Huế,Zalo,2026-01-16,2025-01-20,17.0,372095500.0,21887970.588235293,69.0,361.0,6.0,18.0,Generic,3066815.789473684,11953861.111111112,0.5294117647058824,17.0
C00025,F,1986.0,Vũng Tàu,Shopee,2026-02-24,2025-01-07,17.0,180775500.0,10633852.94117647,30.0,413.0,6.0,13.0,Generic,3750000.0,8367625.0,0.5294117647058824,17.0
C00026,F,1975.0,Thủ Đức,Website,2026-03-24,2025-02-01,10.0,66992900.0,6699290.0,2.0,416.0,5.0,10.0,Local Brand,1807842.105263158,4290625.0,0.4,10.0
C00027,F,1980.0,Buôn Ma Thuột,Referral,2026-03-04,2024-09-26,12.0,139841350.0,11653445.833333334,22.0,524.0,6.0,11.0,Adidas,2274000.0,8887562.5,0.3333333333333333,12.0
C00028,F,2005.0,Hải Phòng,Referral,2025-10-10,2024-12-03,9.0,61424700.0,6824966.666666667,167.0,311.0,6.0,12.0,Generic,1018117.6470588235,3921235.294117647,0.4444444444444444,9.0
C00029,M,1983.0,Hải Phòng,Referral,2025-12-16,2024-10-02,16.0,248024450.0,15501528.125,100.0,440.0,6.0,16.0,Local Brand,3112861.111111111,7375542.857142857,0.4375,16.0
C00030,F,1999.0,TP.HCM,Zalo,2026-01-28,2024-09-26,10.0,521186550.0,52118655.0,57.0,489.0,6.0,11.0,Baseus,3661619.0476190476,32734126.315789472,0.6,10.0
C00031,0,1989.0,,Zalo,2025-10-29,2024-11-15,5.0,28021750.0,5604350.0,148.0,348.0,5.0,8.0,Adidas,1805333.3333333333,3137666.6666666665,0.4,5.0
C00032,M,1969.0,Nha Trang,Shopee,2026-03-13,2025-06-03,12.0,211212550.0,17601045.833333332,13.0,283.0,6.0,14.0,Samsung,3310708.3333333335,9909727.272727273,0.3333333333333333,12.0
C00033,F,1991.0,Hà Nội,TikTok,2026-02-22,2024-06-11,10.0,133766600.0,13376660.0,32.0,621.0,6.0,10.0,Local Brand,3509750.0,9137500.0,0.4,10.0
C00034,F,2002.0,Thủ Đức,Facebook,2026-03-22,2024-09-11,14.0,372502700.0,26607335.714285713,4.0,557.0,6.0,14.0,Generic,4223783.783783784,11388750.0,0.21428571428571427,14.0
C00035,F,1995.0,Hà Nội,Walk-in,2026-02-07,2025-01-18,10.0,83881050.0,8388105.0,47.0,385.0,6.0,11.0,Samsung,1763117.6470588236,6422214.285714285,0.5,10.0
C00036,F,1991.0,Bắc Ninh,TikTok,2025-12-17,2024-04-25,14.0,384857350.0,27489810.714285713,99.0,601.0,6.0,16.0,Generic,3588151.515151515,13146250.0,0.5714285714285714,14.0
C00037,M,1982.0,Nha Trang,Website,2026-02-09,2024-11-12,9.0,137541800.0,15282422.222222222,45.0,454.0,5.0,10.0,Samsung,2615473.6842105263,7388473.684210527,0.1111111111111111,9.0
C00038,F,1986.0,Buôn Ma Thuột,Shopee,2025-06-30,2023-07-01,16.0,282922400.0,17682650.0,269.0,730.0,6.0,17.0,Generic,3340083.3333333335,9013794.11764706,0.625,16.0
C00039,M,1994.0,Đà Nẵng,Facebook,2026-03-10,2025-06-12,11.0,146998050.0,13363459.090909092,16.0,271.0,6.0,13.0,Panasonic,2716263.1578947366,9875294.11764706,0.36363636363636365,11.0
C00040,M,1970.0,Buôn Ma Thuột,Shopee,2026-01-23,2024-07-08,12.0,233204600.0,19433716.666666668,62.0,564.0,6.0,14.0,Local Brand,3387000.0,10851217.391304348,0.5,12.0
C00041,F,1976.0,Hà Nội,Referral,2025-08-25,2023-10-26,15.0,147162550.0,9810836.666666666,213.0,669.0,6.0,13.0,Generic,2732555.5555555555,6206296.296296297,0.7333333333333333,15.0
C00042,F,1978.0,Huế,Walk-in,2026-02-10,2024-07-18,10.0,121046300.0,12104630.0,44.0,572.0,6.0,13.0,Zara,3334260.8695652173,6216590.909090909,0.6,10.0
C00043,F,1982.0,Khác,Shopee,2026-03-16,2024-07-03,15.0,363305800.0,24220386.666666668,10.0,621.0,6.0,13.0,Generic,4125612.9032258065,12889066.666666666,0.5333333333333333,15.0
C00044,M,1995.0,Hà Nội,Facebook,2026-01-28,2024-02-15,12.0,212249700.0,17687475.0,57.0,713.0,6.0,16.0,H&M,3488241.379310345,8650206.896551725,0.4166666666666667,12.0
C00045,M,2006.0,,Facebook,2026-03-15,2024-07-24,12.0,427702450.0,35641870.833333336,11.0,599.0,6.0,13.0,Local Brand,4282514.285714285,14954030.303030303,0.5,12.0
C00046,M,1977.0,Hà Nội,Zalo,2024-04-26,2023-09-22,3.0,65561000.0,21853666.666666668,699.0,217.0,2.0,3.0,Samsung,5186000.0,21853666.666666668,0.0,3.0
C00047,M,1995.0,Buôn Ma Thuột,Google,2026-02-22,2024-10-07,5.0,58654600.0,11730920.0,32.0,503.0,5.0,9.0,Xiaomi,1566250.0,5236750.0,0.2,5.0
C00048,M,1994.0,Thủ Đức,Referral,2026-02-19,2025-01-26,11.0,135009300.0,12273572.727272727,35.0,389.0,6.0,14.0,Local Brand,3157916.6666666665,7131747.619047619,0.45454545454545453,11.0
C00049,M,2003.0,Vũng Tàu,Google,2026-02-04,2024-06-21,11.0,207035300.0,18821390.90909091,50.0,593.0,6.0,15.0,Panasonic,3101269.230769231,8812041.666666666,0.36363636363636365,11.0
C00050,F,1971.0,,Facebook,2025-12-28,2024-03-02,12.0,273389150.0,22782429.166666668,88.0,666.0,6.0,10.0,Generic,4755190.476190476,13291571.42857143,0.16666666666666666,12.0
C00051,F,1990.0,Thủ Đức,TikTok,2026-01-05,2024-06-05,14.0,399674250.0,28548160.714285713,80.0,579.0,6.0,17.0,Innisfree,3320282.0512820515,12217878.787878787,0.35714285714285715,14.0
C00052,M,1971.0,Thủ Đức,Referral,2025-11-14,2023-10-18,11.0,114806600.0,10436963.636363637,132.0,758.0,6.0,14.0,Adidas,3222962.962962963,5048160.0,0.5454545454545454,11.0
C00053,M,2001.0,Khác,Facebook,2026-03-18,2025-05-23,10.0,129184450.0,12918445.0,8.0,299.0,5.0,10.0,Adidas,2908250.0,9532785.714285715,0.3,10.0
C00054,F,1988.0,TP.HCM,Walk-in,2026-01-10,2024-07-30,12.0,238954350.0,19912862.5,75.0,529.0,6.0,14.0,Local Brand,3369520.0,10957240.0,0.3333333333333333,12.0
C00055,F,1996.0,TP.HCM,,2026-02-07,2023-06-20,14.0,149609200.0,10686371.42857143,47.0,963.0,6.0,17.0,Samsung,1849678.5714285714,5956384.615384615,0.42857142857142855,14.0
C00056,,1974.0,Nha Trang,Zalo,2026-02-26,2024-07-28,12.0,207354400.0,17279533.333333332,28.0,578.0,6.0,12.0,Local Brand,3452500.0,10545304.347826088,0.5833333333333334,12.0
C00057,F,2004.0,Khác,,2026-01-29,2025-08-07,9.0,68639900.0,7626655.555555556,56.0,175.0,6.0,11.0,Xiaomi,3855153.846153846,6199500.0,0.5555555555555556,9.0
C00058,F,2002.0,Cần Thơ,Walk-in,2026-03-01,2024-10-02,15.0,300051950.0,20003463.333333332,25.0,515.0,6.0,15.0,Local Brand,3293147.0588235296,11100766.666666666,0.4,15.0
C00059,,1982.0,Huế,TikTok,2025-12-17,2024-06-09,15.0,258108700.0,17207246.666666668,99.0,556.0,6.0,15.0,Adidas,2488750.0,9837645.161290323,0.5333333333333333,15.0
C00060,F,1986.0,Hà Nội,Website,2026-01-03,2024-10-29,10.0,151398250.0,15139825.0,82.0,431.0,5.0,11.0,Anker,3197315.789473684,10385352.94117647,0.5,10.0
C00061,M,1996.0,Hải Phòng,Walk-in,2026-01-14,2024-06-01,6.0,153485150.0,25580858.333333332,71.0,592.0,6.0,10.0,H&M,2474066.6666666665,11496000.0,0.6666666666666666,6.0
C00062,F,1982.0,Vũng Tàu,,2026-03-21,2024-04-27,9.0,71000900.0,7888988.888888889,5.0,693.0,6.0,9.0,Samsung,2351066.6666666665,6564785.714285715,0.6666666666666666,9.0
C00063,M,1986.0,Hải Phòng,Google,2026-01-14,2024-12-24,16.0,218889000.0,13680562.5,71.0,386.0,6.0,14.0,Generic,2381400.0,6744000.0,0.5625,16.0
C00064,F,1986.0,,TikTok,2026-01-08,2024-03-26,7.0,38965150.0,5566450.0,77.0,653.0,5.0,12.0,Sony,1074812.5,2663200.0,0.42857142857142855,7.0
C00065,F,2006.0,Thủ Đức,Website,2026-03-08,2025-07-15,15.0,226492850.0,15099523.333333334,18.0,236.0,6.0,16.0,Xiaomi,4051136.3636363638,11416761.904761905,0.5333333333333333,15.0
C00066,M,1970.0,Cần Thơ,TikTok,2026-02-16,2024-11-17,13.0,198183400.0,15244876.923076924,38.0,456.0,6.0,13.0,Local Brand,2356560.0,9525083.333333334,0.5384615384615384,13.0
C00067,M,1984.0,Buôn Ma Thuột,Walk-in,2026-02-20,2024-08-22,6.0,37600350.0,6266725.0,34.0,547.0,5.0,7.0,Generic,1231600.0,3870400.0,0.3333333333333333,6.0
C00068,F,1992.0,Thủ Đức,Walk-in,2026-01-11,2024-10-01,14.0,145056850.0,10361203.57142857,74.0,467.0,6.0,12.0,Generic,2481500.0,5277689.655172414,0.42857142857142855,14.0
C00069,0,1982.0,Cần Thơ,Referral,2026-01-16,2024-10-08,7.0,426680620.0,60954374.28571428,69.0,465.0,6.0,11.0,Baseus,3573875.0,28813308.0,0.2857142857142857,7.0
C00070,M,1986.0,Biên Hòa,Google,2025-06-12,2024-04-06,7.0,136277400.0,19468200.0,287.0,432.0,4.0,10.0,Panasonic,3731875.0,10840846.153846154,0.5714285714285714,7.0
C00071,M,1977.0,Hải Phòng,Website,2026-03-23,2025-08-13,9.0,112618500.0,12513166.666666666,3.0,222.0,6.0,13.0,Panasonic,2657500.0,5260500.0,0.2222222222222222,9.0
C00072,F,1971.0,Hải Phòng,Referral,2026-03-24,2024-06-22,12.0,343140450.0,28595037.5,2.0,640.0,5.0,13.0,Apple,4843923.076923077,14276160.0,0.3333333333333333,12.0
C00073,F,1976.0,Cần Thơ,Facebook,2025-12-26,2024-02-20,15.0,187394900.0,12492993.333333334,90.0,675.0,6.0,12.0,Generic,3019750.0,10031250.0,0.3333333333333333,15.0
C00074,M,1982.0,Hà Nội,Facebook,2026-01-28,2025-06-13,12.0,88486450.0,7373870.833333333,57.0,229.0,6.0,11.0,Local Brand,2416125.0,6222733.333333333,0.6666666666666666,12.0
C00075,F,1973.0,Buôn Ma Thuột,Website,2026-03-02,2024-12-20,11.0,196341900.0,17849263.636363637,24.0,437.0,6.0,13.0,Generic,3047285.714285714,10146550.0,0.36363636363636365,11.0
C00076,M,2001.0,Cần Thơ,Website,2025-10-26,2024-02-15,8.0,275486950.0,34435868.75,151.0,619.0,6.0,12.0,Anker,4717476.19047619,15426809.523809524,0.625,8.0
C00077,F,1986.0,,Facebook,2026-03-14,2024-10-10,5.0,70907250.0,14181450.0,12.0,520.0,5.0,12.0,Local Brand,1649222.2222222222,4501529.411764706,0.6,5.0
C00078,F,1972.0,TP.HCM,Shopee,2026-01-03,2024-03-09,12.0,105481750.0,8790145.833333334,82.0,665.0,6.0,14.0,Innisfree,1490272.7272727273,4838454.545454546,0.4166666666666667,12.0
C00079,M,2001.0,Buôn Ma Thuột,Facebook,2026-03-12,2025-01-08,10.0,157167454.0,15716745.4,14.0,428.0,6.0,11.0,LOréal,3460250.0,12338647.142857144,0.6,10.0
C00080,M,2001.0,Cần Thơ,Google,2025-04-12,2023-12-31,8.0,108347600.0,13543450.0,348.0,468.0,4.0,12.0,LOréal,3255785.714285714,9028214.285714285,0.375,8.0
C00081,M,1986.0,Khác,Shopee,2026-03-06,2024-08-25,11.0,198337650.0,18030695.454545453,20.0,558.0,6.0,12.0,Innisfree,3000952.380952381,10202350.0,0.5454545454545454,11.0
C00082,M,1998.0,Nha Trang,Website,2026-02-17,2025-05-28,14.0,111385650.0,7956117.857142857,37.0,265.0,6.0,13.0,Samsung,2467966.6666666665,4812428.571428572,0.42857142857142855,14.0
C00083,F,2002.0,Nha Trang,,2026-03-21,2024-09-12,13.0,206724910.0,15901916.153846154,5.0,555.0,6.0,14.0,Anker,3246518.5185185187,9840783.333333334,0.38461538461538464,13.0
C00084,M,2004.0,Thủ Đức,Google,2026-03-18,2025-01-09,16.0,196614550.0,12288409.375,8.0,433.0,6.0,15.0,Vinamilk,2694800.0,6945800.0,0.5625,16.0
C00085,M,1981.0,Buôn Ma Thuột,Google,2026-01-11,2024-04-04,9.0,111557750.0,12395305.555555556,74.0,647.0,6.0,11.0,Generic,2045818.1818181819,6316500.0,0.5555555555555556,9.0
C00086,M,1976.0,Bắc Ninh,Google,2026-01-18,2023-11-20,6.0,201332550.0,33555425.0,67.0,790.0,5.0,9.0,Anker,3611000.0,15865142.857142856,0.6666666666666666,6.0
C00087,M,1991.0,Huế,Website,2026-02-25,2023-11-28,13.0,124060200.0,9543092.307692308,29.0,820.0,6.0,11.0,Adidas,1950000.0,6174173.9130434785,0.5384615384615384,13.0
C00088,,1979.0,Cần Thơ,Referral,2026-03-20,2024-10-03,14.0,222525950.0,15894710.714285715,6.0,533.0,6.0,15.0,Anker,2901800.0,9443730.76923077,0.5,14.0
C00089,F,1969.0,Buôn Ma Thuột,TikTok,2026-01-19,2025-06-08,9.0,263379605.0,29264400.555555556,66.0,225.0,6.0,14.0,Local Brand,3291960.0,12102202.173913043,0.3333333333333333,9.0
C00090,M,1992.0,TP.HCM,TikTok,2026-02-08,2024-05-24,9.0,100408900.0,11156544.444444444,46.0,625.0,6.0,14.0,Panasonic,1459826.0869565217,4986333.333333333,0.5555555555555556,9.0
C00091,M,1982.0,Đà Nẵng,Google,2026-02-28,2025-05-06,14.0,230732150.0,16480867.857142856,26.0,298.0,6.0,13.0,Uniqlo,2458925.925925926,9199481.481481481,0.42857142857142855,14.0
C00092,M,1984.0,Vũng Tàu,Referral,2026-02-06,2023-08-14,12.0,77304500.0,6442041.666666667,48.0,907.0,6.0,12.0,Generic,3043727.272727273,4272789.47368421,0.3333333333333333,12.0
C00093,M,1994.0,Thủ Đức,Referral,2025-12-13,2024-09-17,11.0,78927250.0,7175204.545454546,103.0,452.0,6.0,12.0,Samsung,1889466.6666666667,5426666.666666667,0.45454545454545453,11.0
C00094,F,1982.0,Bắc Ninh,Website,2026-03-19,2025-05-23,15.0,176545050.0,11769670.0,7.0,300.0,6.0,11.0,Local Brand,1596482.7586206896,6901185.185185186,0.5333333333333333,15.0
C00095,,2003.0,Hà Nội,,2026-01-23,2024-10-04,7.0,230487600.0,32926800.0,62.0,476.0,6.0,12.0,Xiaomi,3939500.0,12895650.0,0.7142857142857143,7.0
C00096,F,2003.0,Cần Thơ,Facebook,2026-03-23,2025-07-13,13.0,297315100.0,22870392.307692308,3.0,253.0,6.0,15.0,Generic,3233705.882352941,10063968.75,0.38461538461538464,13.0
C00097,M,2001.0,Vũng Tàu,Facebook,2026-03-08,2023-10-20,12.0,55213800.0,4601150.0,18.0,870.0,6.0,11.0,Local Brand,838777.7777777778,2242880.0,0.25,12.0
C00098,F,1986.0,Hà Nội,Zalo,2026-03-12,2025-05-14,11.0,211109400.0,19191763.636363637,14.0,302.0,6.0,12.0,Samsung,2911692.3076923075,8462423.076923076,0.2727272727272727,11.0
C00099,F,1982.0,Đà Nẵng,Shopee,2026-02-07,2024-10-02,9.0,213587000.0,23731888.888888888,47.0,493.0,6.0,14.0,Local Brand,2903583.3333333335,10295130.43478261,0.6666666666666666,9.0
C00100,F,1986.0,Huế,Walk-in,2026-01-29,2025-04-23,7.0,147134000.0,21019142.85714286,56.0,281.0,5.0,7.0,Apple,3657166.6666666665,15530000.0,0.5714285714285714,7.0
C00101,F,1985.0,Buôn Ma Thuột,Google,2026-02-28,2024-07-27,10.0,261994450.0,26199445.0,26.0,581.0,6.0,14.0,Adidas,4425500.0,12090826.086956521,0.5,10.0
C00102,F,1991.0,Thủ Đức,Website,2026-02-24,2023-12-28,10.0,225636450.0,22563645.0,30.0,789.0,6.0,14.0,Xiaomi,4275450.0,13480526.315789474,0.6,10.0
C00103,F,2000.0,Hà Nội,Website,2025-11-11,2024-04-07,12.0,331001850.0,27583487.5,135.0,583.0,6.0,15.0,Apple,3741451.6129032257,10785935.483870968,0.3333333333333333,12.0
C00104,F,1981.0,Biên Hòa,Google,2025-11-15,2023-12-13,12.0,192149200.0,16012433.333333334,131.0,703.0,6.0,12.0,Local Brand,2540500.0,8654760.0,0.6666666666666666,12.0
C00105,M,1999.0,Huế,Shopee,2026-02-17,2024-08-02,14.0,307980450.0,21998603.57142857,37.0,564.0,6.0,15.0,Zara,4129037.037037037,13060769.23076923,0.5,14.0
C00106,M,1998.0,Biên Hòa,Website,2025-09-15,2024-09-03,4.0,82408900.0,20602225.0,192.0,377.0,6.0,7.0,H&M,2300200.0,8790500.0,0.25,4.0
C00107,F,1968.0,Hải Phòng,Referral,2026-03-16,2025-03-24,10.0,290975350.0,29097535.0,10.0,357.0,5.0,13.0,Local Brand,3054280.0,15291952.38095238,0.3,10.0
C00108,M,1983.0,Huế,Website,2026-01-31,2025-06-20,3.0,16123850.0,5374616.666666667,54.0,225.0,4.0,6.0,Innisfree,767666.6666666666,3504400.0,0.3333333333333333,3.0
C00109,M,2005.0,Vũng Tàu,TikTok,2026-01-07,2023-12-23,12.0,501984800.0,41832066.666666664,78.0,746.0,6.0,15.0,Generic,4192592.592592593,20448076.923076924,0.5833333333333334,12.0
C00110,M,1984.0,Bắc Ninh,Facebook,2026-01-24,2025-06-16,10.0,120444700.0,12044470.0,61.0,222.0,5.0,13.0,Local Brand,2230100.0,7710235.294117647,0.7,10.0
C00111,F,1970.0,Hải Phòng,Google,2026-03-01,2025-02-09,11.0,101779550.0,9252686.363636363,25.0,385.0,6.0,13.0,Vinamilk,1549956.5217391304,5036363.636363637,0.7272727272727273,11.0
C00112,M,2006.0,Đà Nẵng,Website,2026-03-20,2024-10-18,8.0,172755200.0,21594400.0,6.0,518.0,6.0,10.0,Local Brand,2875450.0,10011105.263157895,0.75,8.0
C00113,F,1997.0,Thủ Đức,Referral,2026-03-16,2025-07-11,12.0,77716900.0,6476408.333333333,10.0,248.0,6.0,11.0,Local Brand,2514875.0,5472375.0,0.5833333333333334,12.0
C00114,F,1995.0,Hải Phòng,Website,2025-10-20,2024-10-14,8.0,132001950.0,16500243.75,157.0,371.0,6.0,11.0,Local Brand,1677142.857142857,6767600.0,0.375,8.0
C00115,M,1989.0,Hải Phòng,Zalo,2026-02-09,2025-01-06,14.0,107835000.0,7702500.0,45.0,399.0,5.0,14.0,Zara,1659103.448275862,4627777.777777778,0.5714285714285714,14.0
C00116,F,1991.0,Biên Hòa,Referral,2026-02-24,2024-06-16,6.0,108500750.0,18083458.333333332,30.0,618.0,5.0,12.0,Local Brand,2760812.5,8032933.333333333,0.3333333333333333,6.0
C00117,F,1984.0,,Website,2026-02-07,2023-08-18,10.0,145876900.0,14587690.0,47.0,904.0,6.0,14.0,Adidas,3898380.9523809524,9158450.0,0.8,10.0
C00118,F,1999.0,Huế,Walk-in,2025-12-22,2023-10-31,14.0,399023784.0,28501698.85714286,94.0,783.0,6.0,15.0,Panasonic,4245200.0,15766787.407407407,0.5,14.0
C00119,F,1994.0,Biên Hòa,TikTok,2026-01-22,2024-05-06,11.0,433103600.0,39373054.54545455,63.0,626.0,6.0,12.0,Xiaomi,3013166.6666666665,19594608.695652176,0.5454545454545454,11.0
C00120,M,2001.0,Nha Trang,TikTok,2026-03-15,2025-05-23,10.0,371252900.0,37125290.0,11.0,296.0,5.0,15.0,Xiaomi,4541161.29032258,13850964.285714285,0.3,10.0
C00121,M,1986.0,Thủ Đức,Website,2026-02-11,2025-07-10,3.0,82150250.0,27383416.666666668,43.0,216.0,5.0,6.0,Local Brand,2643428.5714285714,12285571.42857143,0.6666666666666666,3.0
C00122,F,1989.0,Buôn Ma Thuột,Zalo,2026-03-15,2025-07-22,6.0,43596550.0,7266091.666666667,11.0,236.0,5.0,7.0,Local Brand,1118700.0,4877444.444444444,0.3333333333333333,6.0
C00123,M,1986.0,Bắc Ninh,Walk-in,2025-10-25,2025-07-07,3.0,29067700.0,9689233.333333334,152.0,110.0,4.0,5.0,Vinamilk,5845400.0,9815333.333333334,0.6666666666666666,3.0
C00124,F,1986.0,Bắc Ninh,Website,2026-02-09,2023-09-21,4.0,162784600.0,40696150.0,45.0,872.0,5.0,8.0,Samsung,6263777.777777778,19100666.666666668,0.5,4.0
C00125,M,1991.0,Buôn Ma Thuột,Zalo,2024-06-13,2024-01-04,2.0,16676000.0,8338000.0,651.0,161.0,3.0,5.0,H&M,1524000.0,4169000.0,0.5,2.0
C00126,F,1981.0,Biên Hòa,Shopee,2024-09-07,2024-09-07,1.0,1185100.0,1185100.0,565.0,0.0,2.0,2.0,TH True,743500.0,846500.0,1.0,1.0
C00127,M,1986.0,Buôn Ma Thuột,Shopee,2025-12-20,2025-04-06,5.0,84508650.0,16901730.0,96.0,258.0,4.0,6.0,Local Brand,3382600.0,9298600.0,0.8,5.0
C00128,F,1999.0,Hà Nội,Google,2024-12-15,2024-12-15,1.0,2040850.0,2040850.0,466.0,0.0,2.0,2.0,Innisfree,352500.0,1200500.0,1.0,1.0
C00129,F,1979.0,Thủ Đức,Google,2025-12-13,2024-03-30,6.0,93022800.0,15503800.0,103.0,623.0,5.0,8.0,Uniqlo,2764500.0,8801750.0,0.3333333333333333,6.0
C00130,M,2005.0,Thủ Đức,Google,2026-03-25,2024-10-05,3.0,27045000.0,9015000.0,1.0,536.0,3.0,5.0,Adidas,1592200.0,5409000.0,0.0,3.0
C00131,M,1984.0,Hà Nội,Facebook,2026-02-28,2025-02-17,5.0,451726250.0,90345250.0,26.0,376.0,6.0,13.0,Xiaomi,3944466.6666666665,32846785.714285713,0.4,5.0
C00132,M,1983.0,Biên Hòa,Walk-in,2025-12-04,2024-07-22,4.0,15146050.0,3786512.5,112.0,500.0,4.0,6.0,Generic,787300.0,2210333.3333333335,0.75,4.0
C00133,M,1980.0,Bắc Ninh,,2026-01-29,2025-04-08,3.0,66137600.0,22045866.666666668,56.0,296.0,4.0,5.0,Apple,3746750.0,18194750.0,0.6666666666666666,3.0
C00134,M,1975.0,Đà Nẵng,Google,2025-08-03,2025-08-03,1.0,30871000.0,30871000.0,235.0,0.0,4.0,4.0,Fahasa,2325000.0,7717750.0,0.0,1.0
C00135,F,2004.0,Buôn Ma Thuột,TikTok,2026-02-17,2025-03-04,7.0,142199150.0,20314164.285714287,37.0,350.0,6.0,12.0,Adidas,3263375.0,11131437.5,0.42857142857142855,7.0
C00136,,1979.0,Huế,,2025-09-15,2025-01-28,3.0,34804300.0,11601433.333333334,192.0,230.0,4.0,6.0,H&M,2071333.3333333333,8298200.0,0.6666666666666666,3.0
