transaction_id,customer_id,transaction_date,store_id,payment_method,discount_applied,transaction_date_clean
T000037,C00027,2025-09-07,S017,ZaloPay,0.05,2025-09-07
T000038,C00084,2025-02-24,S011,Bank Transfer,0.3,2025-02-24
T000039,C00210,2025-11-02,S013,ZaloPay,0.05,2025-11-02
T000040,C00117,2025-09-11,S008,ZaloPay,0.0,2025-09-11
T000041,C00404,2025-05-01,S017,Credit Card,0.1,2025-05-01
T000042,C00047,2026-02-03,S020,Momo,0.0,2026-02-03
T000043,C00021,2026-01-01,S021,Momo,0.0,2026-01-01
T000044,C00141,2024-02-15,S019,Unknown,0.0,2024-02-15
T000045,C00328,2024-11-11,S020,ZaloPay,0.3,2024-11-11
T000046,C00362,2024-07-27,S016,ZaloPay,0.0,2024-07-27
T000047,C00256,2026-03-17,S006,Momo,0.25,2026-03-17
T000048,C00238,2025-04-15,S013,Credit Card,0.0,2025-04-15
T000049,C00197,2025-04-03,S020,Bank Transfer,0.0,2025-04-03
T000050,C00797,2026-01-07,S022,Bank Transfer,0.15,2026-01-07
T000051,C00103,2025-04-16,S016,Bank Transfer,0.0,2025-04-16
T000052,C00443,2026-01-30,S010,ZaloPay,0.15,2026-01-30
T000053,C00181,2023-08-22,S017,VNPay,0.05,2023-08-22
T000054,C00175,2024-10-02,S005,VNPay,0.25,2024-10-02
T000055,C00262,2025-12-02,S022,Gold,0.0,2025-12-02
T000056,C00310,2025-04-26,S018,Momo,0.1,2025-04-26
T000057,C00091,2025-06-03,S013,Credit Card,0.25,2025-06-03
T000058,C00052,2025-11-14,S011,Bank Transfer,0.15,2025-11-14
T000059,C00153,2024-09-01,S009,Cash,0.0,2024-09-01
T000060,C00606,2025-09-08,S020,ZaloPay,0.15,2025-09-08
T000061,C00109,2026-01-03,S022,ZaloPay,0.15,2026-01-03
T000062,C00084,2025-03-24,S001,ZaloPay,0.0,2025-03-24
T000063,C00156,2025-12-21,S003,VNPay,0.0,2025-12-21
T000064,C00633,2026-01-07,S013,ZaloPay,0.0,2026-01-07
T000065,C00158,2025-07-14,S017,Cash,0.0,2025-07-14
T000066,C00245,2024-07-31,S025,Unknown,0.1,2024-07-31
T000067,C00647,2025-05-14,S004,Bank Transfer,0.0,2025-05-14
T000068,C00665,2023-11-14,S018,Momo,0.3,2023-11-14
T000069,C00087,2026-02-25,S024,Cash,0.0,2026-02-25
T000070,C00115,2025-05-02,S019,VNPay,0.0,2025-05-02
T000071,C00241,2025-07-21,S024,Credit Card,0.0,2025-07-21
T000072,C00100,2025-05-12,S004,Bank Transfer,0.0,2025-05-12
T000073,C00647,2025-11-15,S012,Bank Transfer,0.0,2025-11-15
T000074,C00382,2025-11-26,S009,Unknown,0.0,2025-11-26
T000075,C00397,2025-03-14,S002,Bank Transfer,0.0,2025-03-14
T000076,C00315,2024-03-05,S019,Momo,0.0,2024-03-05
T000077,C00055,2024-08-15,S007,ZaloPay,0.3,2024-08-15
T000078,C00024,2025-02-27,S019,VNPay,0.2,2025-02-27
T000079,C00501,2026-03-19,S005,Bank Transfer,0.0,2026-03-19
T000080,C00282,2025-06-24,S016,Bank Transfer,0.0,2025-06-24
T000081,C00089,2025-06-19,S006,Momo,0.0,2025-06-19
T000082,C00292,2025-06-09,S009,Bank Transfer,0.0,2025-06-09
T000083,C00087,2024-05-29,S020,VNPay,0.2,2024-05-29
T000084,C00596,2025-02-26,S020,Momo,0.1,2025-02-26
T000085,C00157,2025-03-09,S003,Momo,0.0,2025-03-09
T000086,C00323,2025-09-12,S009,VNPay,0.0,2025-09-12
T000087,C00003,2025-08-25,S005,ZaloPay,0.0,2025-08-25
T000088,C00014,2024-06-11,S004,VNPay,0.1,2024-06-11
T000089,C00020,2026-01-16,S003,ZaloPay,0.05,2026-01-16
T000090,C00208,2024-12-08,S001,ZaloPay,0.25,2024-12-08
T000091,C00397,2025-04-30,S009,Credit Card,0.1,2025-04-30
T000092,C00647,2025-04-28,S018,ZaloPay,0.0,2025-04-28
T000093,C00200,2023-08-21,S010,Bank Transfer,0.0,2023-08-21
T000094,C00550,2025-10-09,S020,VNPay,0.0,2025-10-09
T000095,C00248,2025-12-24,S006,Bitcoin,0.05,2025-12-24
T000096,C00243,2026-02-23,S017,VNPay,0.3,2026-02-23
T000097,C00156,2025-05-23,S006,Cash,0.0,2025-05-23
T000098,C00285,2025-02-25,S001,VNPay,0.0,2025-02-25
T000099,C00545,2023-10-23,S009,ZaloPay,0.3,2023-10-23
T000100,C00028,2025-06-18,S011,ZaloPay,0.0,2025-06-18
T000101,C00097,2023-10-29,S005,Unknown,0.0,2023-10-29
T000102,C00407,2026-01-01,S004,Momo,0.3,2026-01-01
T000103,C00005,2025-03-15,S007,Credit Card,0.3,2025-03-15
T000104,C00280,2023-12-17,S011,VNPay,0.25,2023-12-17
T000105,C00250,2025-07-04,S016,,0.0,2025-07-04
T000106,C00102,2025-07-02,S009,ZaloPay,0.0,2025-07-02
T000107,C00698,2025-07-19,S023,Bank Transfer,0.3,2025-07-19
T000108,C00098,2025-05-19,S021,ZaloPay,0.0,2025-05-19
T000109,C00072,2025-02-28,S021,Momo,0.1,2025-02-28
T000110,C00006,2025-08-10,S016,,0.15,2025-08-10
T000111,C00045,2025-09-15,S011,Bank Transfer,0.0,2025-09-15
T000112,C00020,2025-07-16,S015,Bank Transfer,0.0,2025-07-16
T000113,C00082,2025-08-23,S017,Credit Card,0.3,2025-08-23
T000114,C00375,2025-06-13,S025,Bank Transfer,0.0,2025-06-13
T000115,C00467,2024-08-29,S006,Cash,0.0,2024-08-29
T000116,C00074,2025-12-10,S021,Bank Transfer,0.25,2025-12-10
T000117,C00092,2023-08-14,S003,Bank Transfer,0.0,2023-08-14
T000118,C00763,2026-01-01,S002,ZaloPay,0.2,2026-01-01
T000119,C00028,2025-01-03,S017,VNPay,0.0,2025-01-03
T000120,C00025,2025-05-30,S017,VNPay,0.2,2025-05-30
T000121,C00333,2024-10-31,S024,Bank Transfer,0.25,2024-10-31
T000122,C00339,2025-08-24,S004,VNPay,0.0,2025-08-24
T000123,C00301,2025-03-14,S011,Momo,0.0,2025-03-14
T000124,C00070,2025-02-10,S007,ZaloPay,0.15,2025-02-10
T000125,C00005,2025-08-01,S010,Bank Transfer,0.0,2025-08-01
T000126,C00754,2026-02-19,S009,Bank Transfer,0.15,2026-02-19
T000127,C00200,2024-05-08,S005,Gold,0.0,2024-05-08
T000128,C00776,2025-09-29,S003,,0.1,2025-09-29
T000129,C00140,2025-10-05,S024,Cash,0.0,2025-10-05
T000130,C00623,2026-02-12,S014,,0.0,2026-02-12
T000131,C00288,2025-10-05,S017,Cash,0.0,2025-10-05
T000132,C00234,2024-05-02,S014,Momo,0.05,2024-05-02
T000133,C00074,2025-06-20,S024,ZaloPay,0.15,2025-06-20
T000134,C00056,2024-10-16,S025,ZaloPay,0.0,2024-10-16
T000135,C00221,2025-10-06,S018,Bank Transfer,0.3,2025-10-06
T000136,C00566,2025-01-23,S022,Bank Transfer,0.0,2025-01-23
T000137,C00487,2025-10-19,S012,VNPay,0.1,2025-10-19
T000138,C00007,2024-11-27,S008,Credit Card,0.0,2024-11-27
T000139,C00229,2025-12-23,S007,ZaloPay,0.15,2025-12-23
T000140,C00193,2024-06-13,S023,Bank Transfer,0.05,2024-06-13
T000141,C00026,2025-10-25,S023,Cash,0.0,2025-10-25
T000142,C00085,2025-11-07,S009,Momo,0.25,2025-11-07
T000143,C00649,2025-01-19,S020,Momo,0.0,2025-01-19
T000144,C00119,2025-03-14,S017,ZaloPay,0.0,2025-03-14
T000145,C00302,2025-05-18,S021,,0.0,2025-05-18
T000146,C00516,2025-08-17,S005,Momo,0.05,2025-08-17
T000147,C00752,2025-02-27,S008,VNPay,0.0,2025-02-27
T000148,C00710,2025-04-19,S011,Credit Card,0.15,2025-04-19
T000149,C00795,2025-10-14,S005,Momo,0.2,2025-10-14
T000150,C00612,2025-09-26,S014,,0.1,2025-09-26
T000151,C00024,2026-01-16,S001,VNPay,0.2,2026-01-16
T000152,C00239,2023-09-18,S022,Credit Card,,2023-09-18
T000153,C00029,2025-10-16,S002,ZaloPay,0.0,2025-10-16
T000154,C00224,2025-06-17,S025,Credit Card,0.0,2025-06-17
T000155,C00619,2025-12-06,S013,VNPay,0.0,2025-12-06
T000156,C00096,2026-03-23,S019,VNPay,0.15,2026-03-23
T000157,C00142,2025-10-01,S008,Bank Transfer,0.15,2025-10-01
T000158,C00098,2025-05-14,S021,ZaloPay,0.0,2025-05-14
T000159,C00337,2025-11-01,S010,VNPay,0.0,2025-11-01
T000160,C00352,2025-11-24,S003,Credit Card,0.15,2025-11-24
T000161,C00042,2024-07-18,S015,ZaloPay,0.0,2024-07-18
T000162,C00164,2025-11-11,S017,Bank Transfer,0.3,2025-11-11
T000163,C00690,2025-07-23,S022,Momo,0.0,2025-07-23
T000164,C00024,2025-02-27,S004,Credit Card,0.0,2025-02-27
T000165,C00679,2025-08-08,S001,Momo,0.1,2025-08-08
T000166,C00353,2025-07-11,S014,VNPay,0.0,2025-07-11
T000167,C00543,2025-11-17,S020,Momo,0.15,2025-11-17
T000168,C00273,2024-08-28,S011,Cash,0.0,2024-08-28
T000169,C00211,2025-11-06,S015,Momo,0.2,2025-11-06
T000170,C00566,2025-11-16,S012,,0.0,2025-11-16
T000171,C00261,2025-04-19,S011,Bank Transfer,0.05,2025-04-19
T000172,C00176,2025-08-21,S019,Bank Transfer,0.25,2025-08-21
T000173,C00268,2025-11-14,S014,VNPay,0.0,2025-11-14
T000174,C00038,2023-07-01,S007,Credit Card,0.0,2023-07-01
T000175,C00229,2025-01-04,S001,ZaloPay,0.3,2025-01-04
T000176,C00286,2024-05-07,S025,VNPay,,2024-05-07
T000177,C00419,2023-12-09,S021,Momo,0.1,2023-12-09
T000178,C00554,2025-10-19,S019,Bank Transfer,0.15,2025-10-19
T000179,C00544,2024-07-14,S001,VNPay,0.05,2024-07-14
T000180,C00216,2024-07-20,S020,ZaloPay,0.0,2024-07-20
T000181,C00375,2024-12-11,S008,ZaloPay,0.1,2024-12-11
T000182,C00101,2025-02-14,S002,Bank Transfer,0.0,2025-02-14
T000183,C00389,2025-11-30,S010,Credit Card,0.0,2025-11-30
T000184,C00356,2026-02-13,S013,Credit Card,0.0,2026-02-13
T000185,C00165,2025-05-01,S011,Cash,0.0,2025-05-01
T000186,C00098,2026-03-12,S010,Momo,0.0,2026-03-12
T000187,C00744,2025-05-24,S004,Momo,,2025-05-24
T000188,C00080,2025-04-12,S018,Credit Card,0.0,2025-04-12
T000189,C00091,2026-01-12,S010,Credit Card,0.0,2026-01-12
T000190,C00294,2024-11-14,S018,Credit Card,0.0,2024-11-14
T000191,C00426,2025-10-17,S004,Credit Card,0.0,2025-10-17
T000192,C00280,2025-10-22,S011,VNPay,0.0,2025-10-22
T000193,C00758,2025-01-31,S015,Momo,0.1,2025-01-31
T000194,C00029,2025-05-15,S005,Bank Transfer,0.0,2025-05-15
T000195,C00567,2025-09-01,S015,Cash,0.0,2025-09-01
T000196,C00045,2026-01-02,S020,VNPay,0.0,2026-01-02
T000197,C00455,2025-02-13,S011,Cash,0.25,2025-02-13
T000198,C00243,2025-02-10,S020,Momo,0.15,2025-02-10
T000199,C00241,2026-02-22,S006,Cash,0.25,2026-02-22
T000200,C00077,2025-09-01,S015,Unknown,0.15,2025-09-01
T000201,C00595,2024-11-12,S011,VNPay,0.25,2024-11-12
T000202,C00018,2026-03-10,S019,Credit Card,0.0,2026-03-10
T000203,C00074,2025-09-03,S015,VNPay,0.0,2025-09-03
T000204,C00623,2026-01-28,S023,Cash,0.0,2026-01-28
T000205,C00072,2024-06-30,S012,Credit Card,0.0,2024-06-30
T000206,C00322,2025-03-07,S021,Bank Transfer,0.3,2025-03-07
T000207,C00023,2024-06-01,S016,Bank Transfer,0.0,2024-06-01
T000208,C00114,2025-10-20,S016,,0.0,2025-10-20
T000209,C00720,2025-05-31,S006,Bitcoin,0.15,2025-05-31
T000210,C00055,2023-06-20,S020,Bank Transfer,0.2,2023-06-20
T000211,C00119,2025-12-17,S018,Cash,0.0,2025-12-17
T000212,C00161,2025-10-13,S005,,0.3,2025-10-13
T000213,C00388,2025-02-21,S020,Bank Transfer,0.0,2025-02-21
T000214,C00560,2024-03-03,S020,VNPay,0.0,2024-03-03
T000215,C00694,2025-03-29,S024,Momo,0.05,2025-03-29
T000216,C00089,2025-10-22,S020,VNPay,0.3,2025-10-22
T000217,C00011,2025-09-29,S005,ZaloPay,0.0,2025-09-29
T000218,C00076,2024-02-15,S024,ZaloPay,0.25,2024-02-15
T000219,C00417,2024-03-21,S011,Bank Transfer,0.0,2024-03-21
T000220,C00206,2026-03-12,S007,ZaloPay,0.3,2026-03-12
T000221,C00039,2026-03-10,S016,ZaloPay,0.0,2026-03-10
T000222,C00068,2024-10-09,S014,Bank Transfer,,2024-10-09
T000223,C00342,2025-12-27,S020,ZaloPay,0.0,2025-12-27
T000224,C00531,2025-12-16,S021,Bank Transfer,0.05,2025-12-16
T000225,C00667,2025-11-14,S011,Credit Card,0.3,2025-11-14
T000226,C00389,2025-08-29,S004,ZaloPay,0.1,2025-08-29
T000227,C00080,2023-12-31,S003,Momo,0.2,2023-12-31
T000228,C00250,2025-12-24,S010,Cash,0.25,2025-12-24
T000229,C00755,2025-02-10,S022,Momo,0.0,2025-02-10
T000230,C00008,2024-11-25,S009,ZaloPay,0.0,2024-11-25
T000231,C00503,2025-08-16,S020,Bank Transfer,0.0,2025-08-16
T000232,C00083,2025-11-22,S004,,0.3,2025-11-22
T000233,C00410,2024-12-27,S016,,0.25,2024-12-27
T000234,C00043,2025-12-20,S013,VNPay,0.0,2025-12-20
T000235,C00156,2025-07-08,S018,ZaloPay,0.0,2025-07-08
T000236,C00304,2025-12-27,S011,ZaloPay,0.0,2025-12-27
T000237,C00110,2025-07-07,S011,Momo,0.1,2025-07-07
T000238,C00739,2025-11-18,S007,Bank Transfer,0.3,2025-11-18
T000239,C00093,2025-04-24,S019,ZaloPay,,2025-04-24
T000240,C00376,2025-12-29,S018,Cash,0.1,2025-12-29
T000241,C00104,2025-07-13,S021,Bank Transfer,0.15,2025-07-13
T000242,C00362,2024-03-21,S020,Momo,0.0,2024-03-21
T000243,C00450,2025-04-03,S015,Bank Transfer,0.0,2025-04-03
T000244,C00103,2025-06-01,S007,Bank Transfer,0.0,2025-06-01
T000245,C00510,2025-05-12,S025,Credit Card,0.2,2025-05-12
T000246,C00019,2024-12-27,S025,VNPay,0.0,2024-12-27
T000247,C00032,2025-06-13,S019,Cash,0.0,2025-06-13
T000248,C00063,2024-12-24,S003,Momo,0.0,2024-12-24
T000249,C00210,2025-12-11,S020,VNPay,0.0,2025-12-11
T000250,C00016,2026-03-20,S017,Bank Transfer,0.0,2026-03-20
T000251,C00025,2025-02-17,S004,Bank Transfer,0.25,2025-02-17
T000252,C00119,2024-06-30,S002,ZaloPay,0.25,2024-06-30
T000253,C00104,2024-12-06,S025,Cash,0.0,2024-12-06
T000254,C00101,2025-12-01,S001,Credit Card,0.15,2025-12-01
T000255,C00287,2024-06-08,S014,ZaloPay,0.3,2024-06-08
T000256,C00095,2025-03-14,S014,Momo,0.05,2025-03-14
T000257,C00048,2025-08-20,S005,Momo,0.3,2025-08-20
T000258,C00015,2026-01-01,S015,Credit Card,0.05,2026-01-01
T000259,C00696,2026-01-21,S018,Cash,0.0,2026-01-21
T000260,C00231,2025-12-31,S019,,0.1,2025-12-31
T000261,C00247,2024-10-05,S008,Bitcoin,0.05,2024-10-05
T000262,C00694,2025-06-25,S001,Credit Card,0.0,2025-06-25
T000263,C00171,2025-09-21,S015,Cash,0.0,2025-09-21
T000264,C00083,2024-09-12,S003,ZaloPay,0.1,2024-09-12
T000265,C00059,2024-06-27,S015,ZaloPay,0.3,2024-06-27
T000266,C00437,2025-12-10,S013,ZaloPay,0.3,2025-12-10
T000267,C00097,2025-08-16,S009,Bank Transfer,0.2,2025-08-16
T000268,C00442,2025-01-10,S020,Credit Card,0.3,2025-01-10
T000269,C00060,2024-10-29,S020,ZaloPay,0.0,2024-10-29
T000270,C00225,2025-10-16,S005,,0.0,2025-10-16
T000271,C00790,2025-09-16,S008,ZaloPay,0.0,2025-09-16
T000272,C00390,2025-07-02,S004,VNPay,0.3,2025-07-02
T000273,C00087,2026-02-13,S023,Credit Card,0.0,2026-02-13
T000274,C00115,2025-05-12,S006,Cash,0.0,2025-05-12
T000275,C00019,2024-03-31,S016,Bank Transfer,0.0,2024-03-31
T000276,C00643,2024-12-21,S012,Credit Card,0.1,2024-12-21
T000277,C00519,2025-09-21,S017,Bank Transfer,0.05,2025-09-21
T000278,C00392,2025-08-08,S018,Momo,0.1,2025-08-08
T000279,C00517,2024-11-01,S016,Cash,0.0,2024-11-01
T000280,C00717,2025-12-07,S006,Momo,0.15,2025-12-07
T000281,C00041,2024-02-23,S019,Momo,0.1,2024-02-23
T000282,C00091,2026-02-28,S002,ZaloPay,0.0,2026-02-28
T000283,C00118,2024-12-18,S001,???,0.1,2024-12-18
T000284,C00095,2026-01-23,S018,VNPay,0.0,2026-01-23
T000285,C00787,2026-03-08,S019,Bank Transfer,0.0,2026-03-08
T000286,C00472,2025-08-25,S022,ZaloPay,0.0,2025-08-25
T000287,C00168,2024-11-03,S011,VNPay,0.2,2024-11-03
T000288,C00349,2026-03-05,S022,Gold,0.0,2026-03-05
T000289,C00149,2025-05-04,S022,Momo,0.05,2025-05-04
T000290,C00058,2024-12-17,S018,VNPay,0.0,2024-12-17
T000291,C00194,2024-09-11,S007,,0.1,2024-09-11
T000292,C00053,2025-09-17,S021,Momo,0.05,2025-09-17
T000293,C00107,2025-07-28,S013,Bank Transfer,0.15,2025-07-28
T000294,C00358,2024-08-05,S008,Momo,0.0,2024-08-05
T000295,C00036,2024-06-08,S016,VNPay,0.2,2024-06-08
T000296,C00364,2025-12-26,S023,Momo,0.0,2025-12-26
T000297,C00034,2026-03-22,S006,Credit Card,0.0,2026-03-22
T000298,C00054,2025-05-20,S021,ZaloPay,0.0,2025-05-20
T000299,C00160,2024-05-07,S017,Credit Card,0.25,2024-05-07
T000300,C00751,2024-07-08,S010,VNPay,0.25,2024-07-08
T000301,C00301,2023-09-11,S005,VNPay,0.0,2023-09-11
T000302,C00020,2025-06-08,S017,Bank Transfer,0.0,2025-06-08
T000303,C00409,2025-01-19,S016,VNPay,0.0,2025-01-19
T000304,C00706,2026-01-31,S017,Credit Card,0.0,2026-01-31
T000305,C00181,2023-12-24,S008,Momo,0.3,2023-12-24
T000306,C00017,2025-05-26,S003,Credit Card,0.3,2025-05-26
T000307,C00102,2025-04-20,S022,Unknown,0.2,2025-04-20
T000308,C00423,2024-12-08,S003,,0.25,2024-12-08
T000309,C00506,2025-04-03,S019,VNPay,0.0,2025-04-03
T000310,C00109,2024-07-13,S024,Momo,0.2,2024-07-13
T000311,C00073,2024-04-29,S003,Credit Card,0.2,2024-04-29
T000312,C00265,2026-03-12,S006,Cash,0.15,2026-03-12
T000313,C00087,2024-05-11,S004,Bank Transfer,0.0,2024-05-11
T000314,C00329,2025-05-24,S004,Bank Transfer,0.0,2025-05-24
T000315,C00141,2024-08-18,S003,Credit Card,0.1,2024-08-18
T000316,C00280,2025-11-15,S022,Momo,0.1,2025-11-15
T000317,C00009,2026-03-24,S016,Credit Card,0.0,2026-03-24
T000318,C00323,2025-12-01,S015,VNPay,0.25,2025-12-01
T000319,C00780,2024-12-21,S006,Credit Card,0.0,2024-12-21
T000320,C00793,2025-06-20,S019,VNPay,0.0,2025-06-20
T000321,C00456,2025-01-25,S004,Bank Transfer,0.1,2025-01-25
T000322,C00155,2024-10-05,S016,ZaloPay,0.0,2024-10-05
T000323,C00160,2025-11-29,S022,Bank Transfer,0.15,2025-11-29
T000324,C00044,2025-08-26,S018,Cash,0.0,2025-08-26
T000325,C00139,2025-04-22,S002,ZaloPay,0.15,2025-04-22
T000326,C00280,2024-08-09,S023,Cash,0.1,2024-08-09
T000327,C00201,2024-12-23,S017,Momo,0.05,2024-12-23
T000328,C00546,2023-10-04,S011,Bank Transfer,0.0,2023-10-04
T000329,C00579,2025-09-11,S024,VNPay,0.0,2025-09-11
T000330,C00045,2025-07-19,S012,Credit Card,0.0,2025-07-19
T000331,C00040,2024-10-02,S019,Cash,0.3,2024-10-02
T000332,C00042,2025-10-07,S002,,,2025-10-07
T000333,C00537,2026-03-01,S001,VNPay,0.1,2026-03-01
T000334,C00050,2025-06-23,S011,ZaloPay,0.0,2025-06-23
T000335,C00065,2025-10-28,S025,Bank Transfer,,2025-10-28
T000336,C00159,2025-09-04,S018,Momo,,2025-09-04
T000337,C00168,2024-12-14,S023,Momo,0.2,2024-12-14
T000338,C00392,2025-07-30,S016,Momo,0.0,2025-07-30
T000339,C00274,2025-12-21,S014,ZaloPay,0.15,2025-12-21
T000340,C00384,2025-09-21,S015,Credit Card,0.15,2025-09-21
T000341,C00673,2026-03-10,S020,VNPay,0.05,2026-03-10
T000342,C00244,2025-08-13,S005,Bank Transfer,0.05,2025-08-13
T000343,C00037,2025-03-25,S021,VNPay,0.0,2025-03-25
T000344,C00020,2025-03-01,S007,ZaloPay,0.0,2025-03-01
T000345,C00035,2025-01-24,S005,ZaloPay,0.0,2025-01-24
T000346,C00429,2025-05-27,S003,ZaloPay,0.2,2025-05-27
T000347,C00744,2024-11-18,S022,Momo,0.05,2024-11-18
T000348,C00377,2026-03-19,S004,VNPay,0.25,2026-03-19
T000349,C00016,2025-12-23,S025,Momo,0.0,2025-12-23
T000350,C00028,2025-06-28,S009,Momo,0.05,2025-06-28
T000351,C00247,2026-01-16,S009,Momo,0.0,2026-01-16
T000352,C00138,2026-01-28,S024,VNPay,0.0,2026-01-28
T000353,C00751,2025-04-04,S004,Bank Transfer,0.0,2025-04-04
T000354,C00602,2024-06-19,S009,Credit Card,0.0,2024-06-19
T000355,C00329,2025-04-13,S002,Bank Transfer,0.0,2025-04-13
T000356,C00380,2025-02-17,S003,VNPay,0.05,2025-02-17
T000357,C00135,2025-03-12,S025,VNPay,0.25,2025-03-12
T000358,C00177,2025-03-14,S006,Gold,,2025-03-14
T000359,C00284,2024-12-25,S015,Credit Card,0.3,2024-12-25
T000360,C00288,2025-09-23,S010,ZaloPay,0.0,2025-09-23
T000361,C00693,2024-02-10,S008,VNPay,0.0,2024-02-10
T000362,C00110,2025-06-21,S006,Bank Transfer,0.05,2025-06-21
T000363,C00461,2026-03-23,S001,Bank Transfer,0.05,2026-03-23
T000364,C00027,2025-06-02,S007,Bank Transfer,0.0,2025-06-02
T000365,C00545,2025-05-10,S024,ZaloPay,0.0,2025-05-10
T000366,C00034,2025-11-08,S008,ZaloPay,0.0,2025-11-08
T000367,C00286,2025-06-12,S023,Credit Card,0.25,2025-06-12
T000368,C00302,2025-11-23,S020,Credit Card,0.2,2025-11-23
T000369,C00744,2024-12-31,S012,Credit Card,0.15,2024-12-31
T000370,C00065,2025-10-28,S016,Credit Card,0.1,2025-10-28
T000371,C00006,2025-10-12,S005,ZaloPay,0.0,2025-10-12
T000372,C00535,2025-07-11,S020,ZaloPay,0.15,2025-07-11
T000373,C00063,2025-03-08,S025,VNPay,0.15,2025-03-08
T000374,C00024,2025-08-19,S002,Momo,0.0,2025-08-19
T000375,C00196,2025-07-05,S004,Momo,0.0,2025-07-05
T000376,C00784,2025-01-23,S017,VNPay,0.2,2025-01-23
T000377,C00160,2025-12-16,S008,Credit Card,0.1,2025-12-16
T000378,C00088,2025-05-02,S004,VNPay,0.0,2025-05-02
T000379,C00738,2025-10-04,S016,Momo,0.25,2025-10-04
T000380,C00567,2025-11-23,S024,Credit Card,0.0,2025-11-23
T000381,C00596,2025-06-21,S003,Momo,0.0,2025-06-21
T000382,C00110,2025-08-18,S007,Bank Transfer,0.05,2025-08-18
T000383,C00279,2025-09-13,S022,ZaloPay,0.0,2025-09-13
T000384,C00167,2024-10-07,S025,Bank Transfer,0.0,2024-10-07
T000385,C00060,2025-05-05,S022,Momo,0.25,2025-05-05
T000386,C00056,2025-10-07,S003,Momo,0.0,2025-10-07
T000387,C00144,2025-04-06,S017,ZaloPay,0.15,2025-04-06
T000388,C00250,2025-05-20,S012,Credit Card,0.2,2025-05-20
T000389,C00424,2025-05-16,S003,ZaloPay,0.3,2025-05-16
T000390,C00078,2026-01-03,S009,ZaloPay,0.0,2026-01-03
T000391,C00015,2025-03-13,S001,Bank Transfer,0.25,2025-03-13
T000392,C00105,2025-07-22,S020,Bank Transfer,0.3,2025-07-22
T000393,C00002,2025-06-02,S007,Momo,0.0,2025-06-02
T000394,C00344,2025-11-07,S021,Credit Card,0.0,2025-11-07
T000395,C00180,2025-01-13,S006,VNPay,0.3,2025-01-13
T000396,C00351,2025-03-17,S019,Momo,0.0,2025-03-17
T000397,C00081,2025-04-27,S023,ZaloPay,0.05,2025-04-27
T000398,C00269,2025-10-26,S002,Bank Transfer,0.05,2025-10-26
T000399,C00337,2025-06-02,S019,Cash,0.15,2025-06-02
T000400,C00460,2025-05-22,S016,Momo,0.25,2025-05-22
T000401,C00380,2025-10-16,S008,ZaloPay,0.25,2025-10-16
T000402,C00771,2025-09-03,S023,VNPay,0.05,2025-09-03
