transaction_id,customer_id,transaction_date,store_id,payment_method,discount_applied,transaction_date_clean,gross_amount,total_amount
T000034,C00269,2025-10-14,S005,VNPay,0.15,2025-10-14,33411000.0,28399350.0
T000035,C00031,2025-10-02,S020,VNPay,0.0,2025-10-02,5729000.0,5729000.0
T000036,C00195,2025-12-30,S024,Momo,0.1,2025-12-30,24698000.0,22228200.0
T000037,C00027,2025-09-07,S017,ZaloPay,0.05,2025-09-07,0.0,0.0
T000038,C00084,2025-02-24,S011,Bank Transfer,0.3,2025-02-24,1746000.0,1222200.0
T000039,C00210,2025-11-02,S013,ZaloPay,0.05,2025-11-02,1740000.0,1653000.0
T000040,C00117,2025-09-11,S008,ZaloPay,0.0,2025-09-11,668000.0,668000.0
T000041,C00404,2025-05-01,S017,Credit Card,0.1,2025-05-01,5567000.0,5010300.0
T000042,C00047,2026-02-03,S020,Momo,0.0,2026-02-03,24292000.0,24292000.0
T000043,C00021,2026-01-01,S021,Momo,0.0,2026-01-01,92530000.0,92530000.0
T000044,C00141,2024-02-15,S019,Unknown,0.0,2024-02-15,6658000.0,6658000.0
T000045,C00328,2024-11-11,S020,ZaloPay,0.3,2024-11-11,2426000.0,1698200.0
T000046,C00362,2024-07-27,S016,ZaloPay,0.0,2024-07-27,4475000.0,4475000.0
T000047,C00256,2026-03-17,S006,Momo,0.25,2026-03-17,705000.0,528750.0
T000048,C00238,2025-04-15,S013,Credit Card,0.0,2025-04-15,44720000.0,44720000.0
T000049,C00197,2025-04-03,S020,Bank Transfer,0.0,2025-04-03,138316000.0,138316000.0
T000050,C00797,2026-01-07,S022,Bank Transfer,0.15,2026-01-07,67661000.0,57511850.0
T000051,C00103,2025-04-16,S016,Bank Transfer,0.0,2025-04-16,40188000.0,40188000.0
T000052,C00443,2026-01-30,S010,ZaloPay,0.15,2026-01-30,4770000.0,4054500.0
T000053,C00181,2023-08-22,S017,VNPay,0.05,2023-08-22,10887000.0,10342650.0
T000054,C00175,2024-10-02,S005,VNPay,0.25,2024-10-02,25406000.0,19054500.0
T000055,C00262,2025-12-02,S022,Gold,0.0,2025-12-02,8860000.0,8860000.0
T000056,C00310,2025-04-26,S018,Momo,0.1,2025-04-26,2820000.0,2538000.0
T000057,C00091,2025-06-03,S013,Credit Card,0.25,2025-06-03,2696000.0,2022000.0
T000058,C00052,2025-11-14,S011,Bank Transfer,0.15,2025-11-14,17348000.0,14745800.0
T000059,C00153,2024-09-01,S009,Cash,0.0,2024-09-01,0.0,0.0
T000060,C00606,2025-09-08,S020,ZaloPay,0.15,2025-09-08,11728000.0,9968800.0
T000061,C00109,2026-01-03,S022,ZaloPay,0.15,2026-01-03,76074000.0,64662900.0
T000062,C00084,2025-03-24,S001,ZaloPay,0.0,2025-03-24,6446000.0,6446000.0
T000063,C00156,2025-12-21,S003,VNPay,0.0,2025-12-21,7881000.0,7881000.0
T000064,C00633,2026-01-07,S013,ZaloPay,0.0,2026-01-07,5700000.0,5700000.0
T000065,C00158,2025-07-14,S017,Cash,0.0,2025-07-14,12279000.0,12279000.0
T000066,C00245,2024-07-31,S025,Unknown,0.1,2024-07-31,710000.0,639000.0
T000067,C00647,2025-05-14,S004,Bank Transfer,0.0,2025-05-14,8967000.0,8967000.0
T000068,C00665,2023-11-14,S018,Momo,0.3,2023-11-14,7248000.0,5073600.0
T000069,C00087,2026-02-25,S024,Cash,0.0,2026-02-25,10856000.0,10856000.0
T000070,C00115,2025-05-02,S019,VNPay,0.0,2025-05-02,14948000.0,14948000.0
T000071,C00241,2025-07-21,S024,Credit Card,0.0,2025-07-21,16123000.0,16123000.0
T000072,C00100,2025-05-12,S004,Bank Transfer,0.0,2025-05-12,51550000.0,51550000.0
T000073,C00647,2025-11-15,S012,Bank Transfer,0.0,2025-11-15,621000.0,621000.0
T000074,C00382,2025-11-26,S009,Unknown,0.0,2025-11-26,74824000.0,74824000.0
T000075,C00397,2025-03-14,S002,Bank Transfer,0.0,2025-03-14,9086000.0,9086000.0
T000076,C00315,2024-03-05,S019,Momo,0.0,2024-03-05,33456000.0,33456000.0
T000077,C00055,2024-08-15,S007,ZaloPay,0.3,2024-08-15,4716000.0,3301200.0
T000078,C00024,2025-02-27,S019,VNPay,0.2,2025-02-27,82324000.0,65859200.0
T000079,C00501,2026-03-19,S005,Bank Transfer,0.0,2026-03-19,40152000.0,40152000.0
T000080,C00282,2025-06-24,S016,Bank Transfer,0.0,2025-06-24,1226000.0,1226000.0
T000081,C00089,2025-06-19,S006,Momo,0.0,2025-06-19,353000.0,353000.0
T000082,C00292,2025-06-09,S009,Bank Transfer,0.0,2025-06-09,606000.0,606000.0
T000083,C00087,2024-05-29,S020,VNPay,0.2,2024-05-29,31245000.0,24996000.0
T000084,C00596,2025-02-26,S020,Momo,0.1,2025-02-26,10414000.0,9372600.0
T000085,C00157,2025-03-09,S003,Momo,0.0,2025-03-09,5310000.0,5310000.0
T000086,C00323,2025-09-12,S009,VNPay,0.0,2025-09-12,1334000.0,1334000.0
T000087,C00003,2025-08-25,S005,ZaloPay,0.0,2025-08-25,3190000.0,3190000.0
T000088,C00014,2024-06-11,S004,VNPay,0.1,2024-06-11,80169000.0,72152100.0
T000089,C00020,2026-01-16,S003,ZaloPay,0.05,2026-01-16,10028000.0,9526600.0
T000090,C00208,2024-12-08,S001,ZaloPay,0.25,2024-12-08,2004000.0,1503000.0
T000091,C00397,2025-04-30,S009,Credit Card,0.1,2025-04-30,11845000.0,10660500.0
T000092,C00647,2025-04-28,S018,ZaloPay,0.0,2025-04-28,1692000.0,1692000.0
T000093,C00200,2023-08-21,S010,Bank Transfer,0.0,2023-08-21,17394000.0,17394000.0
T000094,C00550,2025-10-09,S020,VNPay,0.0,2025-10-09,19329000.0,19329000.0
T000095,C00248,2025-12-24,S006,Bitcoin,0.05,2025-12-24,21760.0,20672.0
T000096,C00243,2026-02-23,S017,VNPay,0.3,2026-02-23,23247000.0,16272899.999999998
T000097,C00156,2025-05-23,S006,Cash,0.0,2025-05-23,948000.0,948000.0
T000098,C00285,2025-02-25,S001,VNPay,0.0,2025-02-25,46124000.0,46124000.0
T000099,C00545,2023-10-23,S009,ZaloPay,0.3,2023-10-23,9616000.0,6731200.0
T000100,C00028,2025-06-18,S011,ZaloPay,0.0,2025-06-18,314000.0,314000.0
T000101,C00097,2023-10-29,S005,Unknown,0.0,2023-10-29,4903000.0,4903000.0
T000102,C00407,2026-01-01,S004,Momo,0.3,2026-01-01,688000.0,481599.99999999994
T000103,C00005,2025-03-15,S007,Credit Card,0.3,2025-03-15,4116000.0,2881200.0
T000104,C00280,2023-12-17,S011,VNPay,0.25,2023-12-17,63390000.0,47542500.0
T000105,C00250,2025-07-04,S016,,0.0,2025-07-04,54404000.0,54404000.0
T000106,C00102,2025-07-02,S009,ZaloPay,0.0,2025-07-02,593000.0,593000.0
T000107,C00698,2025-07-19,S023,Bank Transfer,0.3,2025-07-19,15396000.0,10777200.0
T000108,C00098,2025-05-19,S021,ZaloPay,0.0,2025-05-19,19130000.0,19130000.0
T000109,C00072,2025-02-28,S021,Momo,0.1,2025-02-28,71146000.0,64031400.0
T000110,C00006,2025-08-10,S016,,0.15,2025-08-10,3930000.0,3340500.0
T000111,C00045,2025-09-15,S011,Bank Transfer,0.0,2025-09-15,0.0,0.0
T000112,C00020,2025-07-16,S015,Bank Transfer,0.0,2025-07-16,4716000.0,4716000.0
T000113,C00082,2025-08-23,S017,Credit Card,0.3,2025-08-23,13496000.0,9447200.0
T000114,C00375,2025-06-13,S025,Bank Transfer,0.0,2025-06-13,8957000.0,8957000.0
T000115,C00467,2024-08-29,S006,Cash,0.0,2024-08-29,334000.0,334000.0
T000116,C00074,2025-12-10,S021,Bank Transfer,0.25,2025-12-10,3823000.0,2867250.0
T000117,C00092,2023-08-14,S003,Bank Transfer,0.0,2023-08-14,7994000.0,7994000.0
T000118,C00763,2026-01-01,S002,ZaloPay,0.2,2026-01-01,38596000.0,30876800.0
T000119,C00028,2025-01-03,S017,VNPay,0.0,2025-01-03,515000.0,515000.0
T000120,C00025,2025-05-30,S017,VNPay,0.2,2025-05-30,6280000.0,5024000.0
T000121,C00333,2024-10-31,S024,Bank Transfer,0.25,2024-10-31,3996000.0,2997000.0
T000122,C00339,2025-08-24,S004,VNPay,0.0,2025-08-24,5868000.0,5868000.0
T000123,C00301,2025-03-14,S011,Momo,0.0,2025-03-14,1315000.0,1315000.0
T000124,C00070,2025-02-10,S007,ZaloPay,0.15,2025-02-10,2936000.0,2495600.0
T000125,C00005,2025-08-01,S010,Bank Transfer,0.0,2025-08-01,60318000.0,60318000.0
T000126,C00754,2026-02-19,S009,Bank Transfer,0.15,2026-02-19,1336000.0,1135600.0
T000127,C00200,2024-05-08,S005,Gold,0.0,2024-05-08,7063000.0,7063000.0
T000128,C00776,2025-09-29,S003,,0.1,2025-09-29,1202000.0,1081800.0
T000129,C00140,2025-10-05,S024,Cash,0.0,2025-10-05,570000.0,570000.0
T000130,C00623,2026-02-12,S014,,0.0,2026-02-12,50956000.0,50956000.0
T000131,C00288,2025-10-05,S017,Cash,0.0,2025-10-05,925000.0,925000.0
T000132,C00234,2024-05-02,S014,Momo,0.05,2024-05-02,1257000.0,1194150.0
T000133,C00074,2025-06-20,S024,ZaloPay,0.15,2025-06-20,2176000.0,1849600.0
T000134,C00056,2024-10-16,S025,ZaloPay,0.0,2024-10-16,3164000.0,3164000.0
T000135,C00221,2025-10-06,S018,Bank Transfer,0.3,2025-10-06,4195000.0,2936500.0
T000136,C00566,2025-01-23,S022,Bank Transfer,0.0,2025-01-23,16931000.0,16931000.0
T000137,C00487,2025-10-19,S012,VNPay,0.1,2025-10-19,36013000.0,32411700.0
T000138,C00007,2024-11-27,S008,Credit Card,0.0,2024-11-27,10990000.0,10990000.0
T000139,C00229,2025-12-23,S007,ZaloPay,0.15,2025-12-23,6960000.0,5916000.0
T000140,C00193,2024-06-13,S023,Bank Transfer,0.05,2024-06-13,35580000.0,33801000.0
T000141,C00026,2025-10-25,S023,Cash,0.0,2025-10-25,158000.0,158000.0
T000142,C00085,2025-11-07,S009,Momo,0.25,2025-11-07,65831000.0,49373250.0
T000143,C00649,2025-01-19,S020,Momo,0.0,2025-01-19,707000.0,707000.0
T000144,C00119,2025-03-14,S017,ZaloPay,0.0,2025-03-14,1506000.0,1506000.0
T000145,C00302,2025-05-18,S021,,0.0,2025-05-18,9294000.0,9294000.0
T000146,C00516,2025-08-17,S005,Momo,0.05,2025-08-17,65120000.0,61864000.0
T000147,C00752,2025-02-27,S008,VNPay,0.0,2025-02-27,5344000.0,5344000.0
T000148,C00710,2025-04-19,S011,Credit Card,0.15,2025-04-19,32764000.0,27849400.0
T000149,C00795,2025-10-14,S005,Momo,0.2,2025-10-14,18077000.0,14461600.0
T000150,C00612,2025-09-26,S014,,0.1,2025-09-26,0.0,0.0
T000151,C00024,2026-01-16,S001,VNPay,0.2,2026-01-16,24117000.0,19293600.0
T000152,C00239,2023-09-18,S022,Credit Card,0.0,2023-09-18,7494000.0,7494000.0
T000153,C00029,2025-10-16,S002,ZaloPay,0.0,2025-10-16,830000.0,830000.0
T000154,C00224,2025-06-17,S025,Credit Card,0.0,2025-06-17,1350000.0,1350000.0
T000155,C00619,2025-12-06,S013,VNPay,0.0,2025-12-06,0.0,0.0
T000156,C00096,2026-03-23,S019,VNPay,0.15,2026-03-23,29213000.0,24831050.0
T000157,C00142,2025-10-01,S008,Bank Transfer,0.15,2025-10-01,63390000.0,53881500.0
T000158,C00098,2025-05-14,S021,ZaloPay,0.0,2025-05-14,1686000.0,1686000.0
T000159,C00337,2025-11-01,S010,VNPay,0.0,2025-11-01,744000.0,744000.0
T000160,C00352,2025-11-24,S003,Credit Card,0.15,2025-11-24,7083000.0,6020550.0
T000161,C00042,2024-07-18,S015,ZaloPay,0.0,2024-07-18,7969000.0,7969000.0
T000162,C00164,2025-11-11,S017,Bank Transfer,0.3,2025-11-11,6352000.0,4446400.0
T000163,C00690,2025-07-23,S022,Momo,0.0,2025-07-23,45002000.0,45002000.0
T000164,C00024,2025-02-27,S004,Credit Card,0.0,2025-02-27,19844000.0,19844000.0
T000165,C00679,2025-08-08,S001,Momo,0.1,2025-08-08,14295000.0,12865500.0
T000166,C00353,2025-07-11,S014,VNPay,0.0,2025-07-11,20620000.0,20620000.0
T000167,C00543,2025-11-17,S020,Momo,0.15,2025-11-17,36802000.0,31281700.0
T000168,C00273,2024-08-28,S011,Cash,0.0,2024-08-28,4452000.0,4452000.0
T000169,C00211,2025-11-06,S015,Momo,0.2,2025-11-06,28089000.0,22471200.0
T000170,C00566,2025-11-16,S012,,0.0,2025-11-16,11005000.0,11005000.0
T000171,C00261,2025-04-19,S011,Bank Transfer,0.05,2025-04-19,1496000.0,1421200.0
T000172,C00176,2025-08-21,S019,Bank Transfer,0.25,2025-08-21,47752000.0,35814000.0
T000173,C00268,2025-11-14,S014,VNPay,0.0,2025-11-14,6136000.0,6136000.0
T000174,C00038,2023-07-01,S007,Credit Card,0.0,2023-07-01,6490000.0,6490000.0
T000175,C00229,2025-01-04,S001,ZaloPay,0.3,2025-01-04,3132000.0,2192400.0
T000176,C00286,2024-05-07,S025,VNPay,0.0,2024-05-07,109120000.0,109120000.0
T000177,C00419,2023-12-09,S021,Momo,0.1,2023-12-09,7870000.0,7083000.0
T000178,C00554,2025-10-19,S019,Bank Transfer,0.15,2025-10-19,2451000.0,2083350.0
T000179,C00544,2024-07-14,S001,VNPay,0.05,2024-07-14,6855000.0,6512250.0
T000180,C00216,2024-07-20,S020,ZaloPay,0.0,2024-07-20,41670000.0,41670000.0
T000181,C00375,2024-12-11,S008,ZaloPay,0.1,2024-12-11,10025000.0,9022500.0
T000182,C00101,2025-02-14,S002,Bank Transfer,0.0,2025-02-14,26867000.0,26867000.0
T000183,C00389,2025-11-30,S010,Credit Card,0.0,2025-11-30,27196000.0,27196000.0
T000184,C00356,2026-02-13,S013,Credit Card,0.0,2026-02-13,663000.0,663000.0
T000185,C00165,2025-05-01,S011,Cash,0.0,2025-05-01,843000.0,843000.0
T000186,C00098,2026-03-12,S010,Momo,0.0,2026-03-12,32154000.0,32154000.0
T000187,C00744,2025-05-24,S004,Momo,0.0,2025-05-24,582000.0,582000.0
T000188,C00080,2025-04-12,S018,Credit Card,0.0,2025-04-12,15501000.0,15501000.0
T000189,C00091,2026-01-12,S010,Credit Card,0.0,2026-01-12,4572000.0,4572000.0
T000190,C00294,2024-11-14,S018,Credit Card,0.0,2024-11-14,102844000.0,102844000.0
T000191,C00426,2025-10-17,S004,Credit Card,0.0,2025-10-17,5459000.0,5459000.0
T000192,C00280,2025-10-22,S011,VNPay,0.0,2025-10-22,3826900.0,3826900.0
T000193,C00758,2025-01-31,S015,Momo,0.1,2025-01-31,632000.0,568800.0
T000194,C00029,2025-05-15,S005,Bank Transfer,0.0,2025-05-15,3843000.0,3843000.0
T000195,C00567,2025-09-01,S015,Cash,0.0,2025-09-01,26734000.0,26734000.0
T000196,C00045,2026-01-02,S020,VNPay,0.0,2026-01-02,58116000.0,58116000.0
T000197,C00455,2025-02-13,S011,Cash,0.25,2025-02-13,30736000.0,23052000.0
T000198,C00243,2025-02-10,S020,Momo,0.15,2025-02-10,10716000.0,9108600.0
T000199,C00241,2026-02-22,S006,Cash,0.25,2026-02-22,1124000.0,843000.0
T000200,C00077,2025-09-01,S015,Unknown,0.15,2025-09-01,8285000.0,7042250.0
T000201,C00595,2024-11-12,S011,VNPay,0.25,2024-11-12,1801000.0,1350750.0
T000202,C00018,2026-03-10,S019,Credit Card,0.0,2026-03-10,1820000.0,1820000.0
T000203,C00074,2025-09-03,S015,VNPay,0.0,2025-09-03,44185000.0,44185000.0
T000204,C00623,2026-01-28,S023,Cash,0.0,2026-01-28,17433000.0,17433000.0
T000205,C00072,2024-06-30,S012,Credit Card,0.0,2024-06-30,1036000.0,1036000.0
T000206,C00322,2025-03-07,S021,Bank Transfer,0.3,2025-03-07,6554000.0,4587800.0
T000207,C00023,2024-06-01,S016,Bank Transfer,0.0,2024-06-01,6538000.0,6538000.0
T000208,C00114,2025-10-20,S016,,0.0,2025-10-20,1710000.0,1710000.0
T000209,C00720,2025-05-31,S006,Bitcoin,0.15,2025-05-31,7403000.0,6292550.0
T000210,C00055,2023-06-20,S020,Bank Transfer,0.2,2023-06-20,1295000.0,1036000.0
T000211,C00119,2025-12-17,S018,Cash,0.0,2025-12-17,85608000.0,85608000.0
T000212,C00161,2025-10-13,S005,,0.3,2025-10-13,21680000.0,15175999.999999998
T000213,C00388,2025-02-21,S020,Bank Transfer,0.0,2025-02-21,1740000.0,1740000.0
T000214,C00560,2024-03-03,S020,VNPay,0.0,2024-03-03,39475000.0,39475000.0
T000215,C00694,2025-03-29,S024,Momo,0.05,2025-03-29,13617000.0,12936150.0
T000216,C00089,2025-10-22,S020,VNPay,0.3,2025-10-22,24196650.0,16937655.0
T000217,C00011,2025-09-29,S005,ZaloPay,0.0,2025-09-29,16003000.0,16003000.0
T000218,C00076,2024-02-15,S024,ZaloPay,0.25,2024-02-15,12696000.0,9522000.0
T000219,C00417,2024-03-21,S011,Bank Transfer,0.0,2024-03-21,5934000.0,5934000.0
T000220,C00206,2026-03-12,S007,ZaloPay,0.3,2026-03-12,32874000.0,23011800.0
T000221,C00039,2026-03-10,S016,ZaloPay,0.0,2026-03-10,492000.0,492000.0
T000222,C00068,2024-10-09,S014,Bank Transfer,0.0,2024-10-09,4737000.0,4737000.0
T000223,C00342,2025-12-27,S020,ZaloPay,0.0,2025-12-27,10197000.0,10197000.0
T000224,C00531,2025-12-16,S021,Bank Transfer,0.05,2025-12-16,1055000.0,1002250.0
T000225,C00667,2025-11-14,S011,Credit Card,0.3,2025-11-14,11150000.0,7804999.999999999
T000226,C00389,2025-08-29,S004,ZaloPay,0.1,2025-08-29,7939000.0,7145100.0
T000227,C00080,2023-12-31,S003,Momo,0.2,2023-12-31,54699000.0,43759200.0
T000228,C00250,2025-12-24,S010,Cash,0.25,2025-12-24,423000.0,317250.0
T000229,C00755,2025-02-10,S022,Momo,0.0,2025-02-10,3852000.0,3852000.0
T000230,C00008,2024-11-25,S009,ZaloPay,0.0,2024-11-25,0.0,0.0
T000231,C00503,2025-08-16,S020,Bank Transfer,0.0,2025-08-16,28925000.0,28925000.0
T000232,C00083,2025-11-22,S004,,0.3,2025-11-22,88551000.0,61985699.99999999
T000233,C00410,2024-12-27,S016,,0.25,2024-12-27,129955000.0,97466250.0
T000234,C00043,2025-12-20,S013,VNPay,0.0,2025-12-20,24000.0,24000.0
T000235,C00156,2025-07-08,S018,ZaloPay,0.0,2025-07-08,23000.0,23000.0
T000236,C00304,2025-12-27,S011,ZaloPay,0.0,2025-12-27,1507000.0,1507000.0
T000237,C00110,2025-07-07,S011,Momo,0.1,2025-07-07,14781000.0,13302900.0
T000238,C00739,2025-11-18,S007,Bank Transfer,0.3,2025-11-18,20239000.0,14167300.0
T000239,C00093,2025-04-24,S019,ZaloPay,0.0,2025-04-24,3780000.0,3780000.0
T000240,C00376,2025-12-29,S018,Cash,0.1,2025-12-29,91281000.0,82152900.0
T000241,C00104,2025-07-13,S021,Bank Transfer,0.15,2025-07-13,4780000.0,4063000.0
T000242,C00362,2024-03-21,S020,Momo,0.0,2024-03-21,4275000.0,4275000.0
T000243,C00450,2025-04-03,S015,Bank Transfer,0.0,2025-04-03,50699000.0,50699000.0
T000244,C00103,2025-06-01,S007,Bank Transfer,0.0,2025-06-01,5797000.0,5797000.0
T000245,C00510,2025-05-12,S025,Credit Card,0.2,2025-05-12,190000.0,152000.0
T000246,C00019,2024-12-27,S025,VNPay,0.0,2024-12-27,845000.0,845000.0
T000247,C00032,2025-06-13,S019,Cash,0.0,2025-06-13,1960000.0,1960000.0
T000248,C00063,2024-12-24,S003,Momo,0.0,2024-12-24,62590000.0,62590000.0
T000249,C00210,2025-12-11,S020,VNPay,0.0,2025-12-11,50554000.0,50554000.0
T000250,C00016,2026-03-20,S017,Bank Transfer,0.0,2026-03-20,9326000.0,9326000.0
T000251,C00025,2025-02-17,S004,Bank Transfer,0.25,2025-02-17,74000.0,55500.0
T000252,C00119,2024-06-30,S002,ZaloPay,0.25,2024-06-30,2244000.0,1683000.0
T000253,C00104,2024-12-06,S025,Cash,0.0,2024-12-06,67130000.0,67130000.0
T000254,C00101,2025-12-01,S001,Credit Card,0.15,2025-12-01,3048000.0,2590800.0
T000255,C00287,2024-06-08,S014,ZaloPay,0.3,2024-06-08,14641000.0,10248700.0
T000256,C00095,2025-03-14,S014,Momo,0.05,2025-03-14,62047000.0,58944650.0
T000257,C00048,2025-08-20,S005,Momo,0.3,2025-08-20,19112000.0,13378400.0
T000258,C00015,2026-01-01,S015,Credit Card,0.05,2026-01-01,29854000.0,28361300.0
T000259,C00696,2026-01-21,S018,Cash,0.0,2026-01-21,415000.0,415000.0
T000260,C00231,2025-12-31,S019,,0.1,2025-12-31,19844000.0,17859600.0
T000261,C00247,2024-10-05,S008,Bitcoin,0.05,2024-10-05,0.0,0.0
T000262,C00694,2025-06-25,S001,Credit Card,0.0,2025-06-25,57698000.0,57698000.0
T000263,C00171,2025-09-21,S015,Cash,0.0,2025-09-21,11388000.0,11388000.0
T000264,C00083,2024-09-12,S003,ZaloPay,0.1,2024-09-12,9285000.0,8356500.0
T000265,C00059,2024-06-27,S015,ZaloPay,0.3,2024-06-27,7633000.0,5343100.0
T000266,C00437,2025-12-10,S013,ZaloPay,0.3,2025-12-10,562000.0,393400.0
T000267,C00097,2025-08-16,S009,Bank Transfer,0.2,2025-08-16,414000.0,331200.0
T000268,C00442,2025-01-10,S020,Credit Card,0.3,2025-01-10,1666000.0,1166200.0
T000269,C00060,2024-10-29,S020,ZaloPay,0.0,2024-10-29,7125000.0,7125000.0
T000270,C00225,2025-10-16,S005,,0.0,2025-10-16,24846000.0,24846000.0
T000271,C00790,2025-09-16,S008,ZaloPay,0.0,2025-09-16,55522000.0,55522000.0
T000272,C00390,2025-07-02,S004,VNPay,0.3,2025-07-02,12665000.0,8865500.0
T000273,C00087,2026-02-13,S023,Credit Card,0.0,2026-02-13,142000.0,142000.0
T000274,C00115,2025-05-12,S006,Cash,0.0,2025-05-12,4113000.0,4113000.0
T000275,C00019,2024-03-31,S016,Bank Transfer,0.0,2024-03-31,92248000.0,92248000.0
T000276,C00643,2024-12-21,S012,Credit Card,0.1,2024-12-21,6270000.0,5643000.0
T000277,C00519,2025-09-21,S017,Bank Transfer,0.05,2025-09-21,6221000.0,5909950.0
T000278,C00392,2025-08-08,S018,Momo,0.1,2025-08-08,4516000.0,4064400.0
T000279,C00517,2024-11-01,S016,Cash,0.0,2024-11-01,6300000.0,6300000.0
T000280,C00717,2025-12-07,S006,Momo,0.15,2025-12-07,6748000.0,5735800.0
T000281,C00041,2024-02-23,S019,Momo,0.1,2024-02-23,338000.0,304200.0
T000282,C00091,2026-02-28,S002,ZaloPay,0.0,2026-02-28,3752000.0,3752000.0
T000283,C00118,2024-12-18,S001,???,0.1,2024-12-18,4260.0,3834.0
T000284,C00095,2026-01-23,S018,VNPay,0.0,2026-01-23,54468000.0,54468000.0
T000285,C00787,2026-03-08,S019,Bank Transfer,0.0,2026-03-08,3980000.0,3980000.0
T000286,C00472,2025-08-25,S022,ZaloPay,0.0,2025-08-25,65195000.0,65195000.0
T000287,C00168,2024-11-03,S011,VNPay,0.2,2024-11-03,11218000.0,8974400.0
T000288,C00349,2026-03-05,S022,Gold,0.0,2026-03-05,14295000.0,14295000.0
T000289,C00149,2025-05-04,S022,Momo,0.05,2025-05-04,5908000.0,5612600.0
T000290,C00058,2024-12-17,S018,VNPay,0.0,2024-12-17,8604000.0,8604000.0
T000291,C00194,2024-09-11,S007,,0.1,2024-09-11,3974000.0,3576600.0
T000292,C00053,2025-09-17,S021,Momo,0.05,2025-09-17,102000.0,96900.0
T000293,C00107,2025-07-28,S013,Bank Transfer,0.15,2025-07-28,84165000.0,71540250.0
T000294,C00358,2024-08-05,S008,Momo,0.0,2024-08-05,48522000.0,48522000.0
T000295,C00036,2024-06-08,S016,VNPay,0.2,2024-06-08,8394000.0,6715200.0
T000296,C00364,2025-12-26,S023,Momo,0.0,2025-12-26,2435000.0,2435000.0
T000297,C00034,2026-03-22,S006,Credit Card,0.0,2026-03-22,4068000.0,4068000.0
T000298,C00054,2025-05-20,S021,ZaloPay,0.0,2025-05-20,0.0,0.0
T000299,C00160,2024-05-07,S017,Credit Card,0.25,2024-05-07,70133000.0,52599750.0
T000300,C00751,2024-07-08,S010,VNPay,0.25,2024-07-08,0.0,0.0
