customer_id,gender,birth_year,city,registration_date,acquisition_channel,birth_year_missing_flag,registration_date_clean,transaction_count,total_revenue,avg_order_value,total_discount_rate,avg_discount_rate,total_items_bought,avg_items_per_order,n_unique_stores,first_purchase_date,last_purchase_date,support_ticket_count,resolved_rate,pending_ticket_count,avg_satisfaction_score,last_support_date,campaign_count,open_rate,click_rate,total_offer_value,last_campaign_date
C00023,M,1998.0,Huế,2024-01-11,Facebook,0,2024-01-11,14.0,153856500.0,10989750.0,1.0,0.07142857142857142,82.0,5.857142857142857,11.0,2024-02-22,2026-03-11,2.0,1.0,0.0,1.0,2024-03-14,2.0,0.5,0.0,50000.0,2024-10-17
C00024,M,1972.0,Huế,2024-12-22,Zalo,0,2024-12-22,17.0,372095500.0,21887970.588235293,1.4000000000000001,0.0823529411764706,110.0,6.470588235294118,11.0,2025-01-20,2026-01-16,1.0,0.0,0.0,4.0,2025-03-11,3.0,0.0,0.0,35000.0,2025-12-26
C00025,F,1986.0,Vũng Tàu,2024-09-18,Shopee,1,2024-09-18,17.0,180775500.0,10633852.94117647,1.8,0.10588235294117647,65.0,3.823529411764706,13.0,2025-01-07,2026-02-24,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,50000.0,2026-01-05
C00026,F,1975.0,Thủ Đức,2024-12-13,Website,0,2024-12-13,10.0,66992900.0,6699290.0,0.45,0.045,58.0,5.8,7.0,2025-02-01,2026-03-24,3.0,0.6666666666666666,1.0,4.5,2025-03-31,3.0,0.3333333333333333,0.3333333333333333,25000.0,2025-08-06
C00027,F,1980.0,Buôn Ma Thuột,2024-09-03,Referral,0,2024-09-03,12.0,139841350.0,11653445.833333334,0.5,0.041666666666666664,47.0,3.9166666666666665,9.0,2024-09-26,2026-03-04,1.0,1.0,0.0,4.0,2024-11-19,4.0,0.75,0.0,75000.0,2026-03-25
C00028,F,2005.0,Hải Phòng,2024-11-15,Referral,0,2024-11-15,9.0,61424700.0,6824966.666666667,0.5,0.05555555555555555,50.0,5.555555555555555,7.0,2024-12-03,2025-10-10,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,2025-11-30
C00029,M,1983.0,Hải Phòng,2024-08-24,Referral,0,2024-08-24,16.0,248024450.0,15501528.125,0.75,0.046875,108.0,6.75,13.0,2024-10-02,2025-12-16,0.0,0.0,0.0,0.0,,3.0,0.3333333333333333,0.3333333333333333,15000.0,2025-08-27
C00030,F,1999.0,TP.HCM,2024-05-09,Zalo,0,2024-05-09,10.0,521186550.0,52118655.0,1.05,0.10500000000000001,98.03999999999999,9.803999999999998,9.0,2024-09-26,2026-01-28,1.0,0.0,0.0,5.0,2024-11-06,0.0,0.0,0.0,0.0,
C00031,0,1989.0,,2023-11-02,Zalo,0,2023-11-02,5.0,28021750.0,5604350.0,0.45,0.09,29.0,5.8,5.0,2024-11-15,2025-10-29,0.0,0.0,0.0,0.0,,2.0,0.5,0.0,35000.0,2025-01-09
C00032,M,1969.0,Nha Trang,2025-05-24,Shopee,0,2025-05-24,12.0,211212550.0,17601045.833333332,0.65,0.05416666666666667,61.0,5.083333333333333,10.0,2025-06-03,2026-03-13,1.0,0.0,0.0,2.0,2025-07-18,1.0,1.0,0.0,15000.0,2025-11-12
C00033,F,1991.0,Hà Nội,2024-05-04,TikTok,0,2024-05-04,10.0,133766600.0,13376660.0,0.75,0.075,48.0,4.8,9.0,2024-06-11,2026-02-22,0.0,0.0,0.0,0.0,,4.0,0.25,0.25,110000.0,2025-11-09
C00034,F,2002.0,Thủ Đức,2024-08-04,Facebook,0,2024-08-04,14.0,372502700.0,26607335.714285713,0.55,0.03928571428571429,127.0,9.071428571428571,10.0,2024-09-11,2026-03-22,1.0,0.0,0.0,0.0,2024-10-08,2.0,0.5,0.0,10000.0,2025-09-13
C00035,F,1995.0,Hà Nội,2025-01-10,Walk-in,0,2025-01-10,10.0,83881050.0,8388105.0,0.8500000000000001,0.085,41.0,4.1,8.0,2025-01-18,2026-02-07,1.0,1.0,0.0,2.0,2025-01-31,1.0,0.0,0.0,30000.0,2026-01-27
C00036,F,1991.0,Bắc Ninh,2024-04-01,TikTok,0,2024-04-01,14.0,384857350.0,27489810.714285713,1.2,0.08571428571428572,111.0,7.928571428571429,9.0,2024-04-25,2025-12-17,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,2024-08-07
C00037,M,1982.0,Nha Trang,2024-10-12,Website,0,2024-10-12,9.0,137541800.0,15282422.222222222,0.3,0.03333333333333333,98.0,10.88888888888889,6.0,2024-11-12,2026-02-09,2.0,0.0,1.0,2.0,2024-12-17,0.0,0.0,0.0,0.0,
C00038,F,1986.0,Buôn Ma Thuột,2023-06-30,Shopee,0,2023-06-30,16.0,282922400.0,17682650.0,1.65,0.103125,108.0,6.75,13.0,2023-07-01,2025-06-30,1.0,0.0,0.0,1.0,2023-07-17,3.0,0.0,0.0,70000.0,2025-08-21
C00039,M,1994.0,Đà Nẵng,2025-06-11,Facebook,0,2025-06-11,11.0,146998050.0,13363459.090909092,0.7,0.06363636363636363,59.0,5.363636363636363,9.0,2025-06-12,2026-03-10,2.0,0.5,0.0,2.5,2025-07-14,3.0,0.6666666666666666,0.0,20000.0,2026-01-09
C00040,M,1970.0,Buôn Ma Thuột,2024-07-08,Shopee,0,2024-07-08,12.0,233204600.0,19433716.666666668,1.2,0.09999999999999999,59.0,4.916666666666667,9.0,2024-07-08,2026-01-23,2.0,0.0,2.0,0.0,2024-08-11,0.0,0.0,0.0,0.0,
C00041,F,1976.0,Hà Nội,2023-10-17,Referral,0,2023-10-17,15.0,147162550.0,9810836.666666666,1.5,0.1,77.0,5.133333333333334,11.0,2023-10-26,2025-08-25,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,
C00042,F,1978.0,Huế,2024-06-23,Walk-in,0,2024-06-23,10.0,121046300.0,12104630.0,1.2,0.12,56.0,5.6,8.0,2024-07-18,2026-02-10,2.0,0.5,0.0,5.0,2024-09-08,5.0,0.6,0.0,115000.0,2026-02-18
C00043,F,1982.0,Khác,2024-05-11,Shopee,0,2024-05-11,15.0,363305800.0,24220386.666666668,1.6500000000000001,0.11000000000000001,83.0,5.533333333333333,10.0,2024-07-03,2026-03-16,1.0,0.0,1.0,0.0,2024-09-01,0.0,0.0,0.0,0.0,
C00044,M,1995.0,Hà Nội,2024-02-14,Facebook,0,2024-02-14,12.0,212249700.0,17687475.0,1.1,0.09166666666666667,101.0,8.416666666666666,10.0,2024-02-15,2026-01-28,1.0,1.0,0.0,4.0,2024-03-02,2.0,0.5,0.0,20000.0,2024-12-29
C00045,M,2006.0,,2024-05-24,Facebook,0,2024-05-24,12.0,427702450.0,35641870.833333336,1.1,0.09166666666666667,113.0,9.416666666666666,9.0,2024-07-24,2026-03-15,0.0,0.0,0.0,0.0,,3.0,0.6666666666666666,0.3333333333333333,80000.0,2025-09-16
C00046,M,1977.0,Hà Nội,2023-07-02,Zalo,0,2023-07-02,3.0,65561000.0,21853666.666666668,0.0,0.0,13.0,4.333333333333333,2.0,2023-09-22,2024-04-26,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,2025-07-14
C00047,M,1995.0,Buôn Ma Thuột,2024-01-31,Google,0,2024-01-31,5.0,58654600.0,11730920.0,0.2,0.04,39.0,7.8,5.0,2024-10-07,2026-02-22,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
C00048,M,1994.0,Thủ Đức,2024-12-29,Referral,0,2024-12-29,11.0,135009300.0,12273572.727272727,0.95,0.08636363636363636,54.03,4.911818181818182,10.0,2025-01-26,2026-02-19,0.0,0.0,0.0,0.0,,5.0,0.4,0.0,90000.0,2025-12-26
C00049,M,2003.0,Vũng Tàu,2024-06-12,Google,0,2024-06-12,11.0,207035300.0,18821390.90909091,0.6499999999999999,0.05909090909090908,69.0,6.2727272727272725,10.0,2024-06-21,2026-02-04,2.0,0.0,0.0,1.5,2024-07-17,3.0,0.0,0.0,10000.0,2026-01-13
C00050,F,1971.0,,2023-11-15,Facebook,0,2023-11-15,12.0,273389150.0,22782429.166666668,0.25,0.020833333333333332,61.0,5.083333333333333,8.0,2024-03-02,2025-12-28,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,10000.0,2025-03-10
C00051,F,1990.0,Thủ Đức,2024-04-15,TikTok,0,2024-04-15,14.0,399674250.0,28548160.714285713,0.8999999999999999,0.06428571428571428,181.0,12.928571428571429,12.0,2024-06-05,2026-01-05,1.0,1.0,0.0,5.0,2024-07-09,0.0,0.0,0.0,0.0,
C00052,M,1971.0,Thủ Đức,2023-08-17,Referral,0,2023-08-17,11.0,114806600.0,10436963.636363637,0.95,0.08636363636363636,72.0,6.545454545454546,9.0,2023-10-18,2025-11-14,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,2023-09-17
C00053,M,2001.0,Khác,2025-05-01,Facebook,0,2025-05-01,10.0,129184450.0,12918445.0,0.35,0.034999999999999996,58.0,5.8,8.0,2025-05-23,2026-03-18,0.0,0.0,0.0,0.0,,2.0,0.5,0.0,50000.0,2025-12-03
C00054,F,1988.0,TP.HCM,2024-05-21,Walk-in,0,2024-05-21,12.0,238954350.0,19912862.5,0.45,0.0375,94.0,7.833333333333333,10.0,2024-07-30,2026-01-10,0.0,0.0,0.0,0.0,,6.0,0.3333333333333333,0.0,105000.0,2025-10-09
C00055,F,1996.0,TP.HCM,2023-06-13,,0,2023-06-13,14.0,149609200.0,10686371.42857143,1.0,0.07142857142857142,83.0,5.928571428571429,12.0,2023-06-20,2026-02-07,2.0,0.0,0.0,2.5,2023-08-16,5.0,0.6,0.0,105000.0,2026-01-07
C00056,,1974.0,Nha Trang,2024-06-05,Zalo,0,2024-06-05,12.0,207354400.0,17279533.333333332,1.45,0.12083333333333333,65.0,5.416666666666667,10.0,2024-07-28,2026-02-26,1.0,0.0,1.0,0.0,2024-08-09,3.0,0.6666666666666666,0.0,30000.0,2026-01-25
C00057,F,2004.0,Khác,2025-06-21,,0,2025-06-21,9.0,68639900.0,7626655.555555556,0.55,0.061111111111111116,45.0,5.0,7.0,2025-08-07,2026-01-29,0.0,0.0,0.0,0.0,,6.0,0.16666666666666666,0.0,30000.0,2026-03-16
C00058,F,2002.0,Cần Thơ,2024-09-19,Walk-in,0,2024-09-19,15.0,300051950.0,20003463.333333332,1.1,0.07333333333333333,122.0,8.133333333333333,13.0,2024-10-02,2026-03-01,1.0,0.0,0.0,1.0,2024-10-15,1.0,1.0,0.0,20000.0,2025-04-17
C00059,,1982.0,Huế,2024-02-07,TikTok,0,2024-02-07,15.0,258108700.0,17207246.666666668,1.5,0.1,99.0,6.6,11.0,2024-06-09,2025-12-17,2.0,0.0,0.0,2.0,2024-08-08,1.0,0.0,0.0,30000.0,2024-04-05
C00060,F,1986.0,Hà Nội,2024-09-18,Website,0,2024-09-18,10.0,151398250.0,15139825.0,1.0,0.1,53.0,5.3,10.0,2024-10-29,2026-01-03,1.0,0.0,1.0,0.0,2024-12-14,2.0,0.0,0.0,10000.0,2026-03-23
C00061,M,1996.0,Hải Phòng,2024-04-28,Walk-in,0,2024-04-28,6.0,153485150.0,25580858.333333332,0.75,0.125,111.0,18.5,6.0,2024-06-01,2026-01-14,1.0,1.0,0.0,3.0,2024-06-21,1.0,0.0,0.0,0.0,2025-01-28
C00062,F,1982.0,Vũng Tàu,2024-02-20,,0,2024-02-20,9.0,71000900.0,7888988.888888889,1.25,0.1388888888888889,38.0,4.222222222222222,6.0,2024-04-27,2026-03-21,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,2024-10-19
C00063,M,1986.0,Hải Phòng,2024-12-21,Google,1,2024-12-21,16.0,218889000.0,13680562.5,1.45,0.090625,141.0,8.8125,12.0,2024-12-24,2026-01-14,3.0,0.6666666666666666,0.0,4.0,2025-02-10,3.0,0.3333333333333333,0.0,25000.0,2025-08-07
C00064,F,1986.0,,2024-02-03,TikTok,1,2024-02-03,7.0,38965150.0,5566450.0,0.2,0.028571428571428574,42.0,6.0,7.0,2024-03-26,2026-01-08,0.0,0.0,0.0,0.0,,3.0,0.3333333333333333,0.3333333333333333,15000.0,2026-01-24
C00065,F,2006.0,Thủ Đức,2025-05-08,Website,0,2025-05-08,15.0,226492850.0,15099523.333333334,1.35,0.09000000000000001,70.0,4.666666666666667,11.0,2025-07-15,2026-03-08,3.0,0.0,2.0,0.0,2025-09-08,4.0,0.5,0.5,80000.0,2026-02-19
C00066,M,1970.0,Cần Thơ,2024-09-01,TikTok,0,2024-09-01,13.0,198183400.0,15244876.923076924,1.35,0.10384615384615385,86.0,6.615384615384615,10.0,2024-11-17,2026-02-16,3.0,0.6666666666666666,1.0,3.0,2025-01-04,4.0,0.25,0.25,25000.0,2026-01-24
C00067,M,1984.0,Buôn Ma Thuột,2024-07-19,Walk-in,0,2024-07-19,6.0,37600350.0,6266725.0,0.25,0.041666666666666664,34.0,5.666666666666667,6.0,2024-08-22,2026-02-20,2.0,0.5,0.0,2.0,2024-10-06,1.0,0.0,0.0,30000.0,2026-01-20
C00068,F,1992.0,Thủ Đức,2024-09-27,Walk-in,0,2024-09-27,14.0,145056850.0,10361203.57142857,1.15,0.08214285714285714,82.0,5.857142857142857,11.0,2024-10-01,2026-01-11,1.0,1.0,0.0,5.0,2024-10-22,0.0,0.0,0.0,0.0,
C00069,0,1982.0,Cần Thơ,2024-05-26,Referral,0,2024-05-26,7.0,426680620.0,60954374.28571428,0.45,0.0642857142857143,74.01,10.572857142857144,6.0,2024-10-08,2026-01-16,0.0,0.0,0.0,0.0,,3.0,0.3333333333333333,0.0,70000.0,2025-07-09
C00070,M,1986.0,Biên Hòa,,Google,1,,7.0,136277400.0,19468200.0,0.75,0.10714285714285714,46.0,6.571428571428571,5.0,2024-04-06,2025-06-12,2.0,1.0,0.0,4.0,2024-04-22,4.0,0.0,0.0,590000.0,2025-11-29
C00071,M,1977.0,Hải Phòng,2025-06-30,Website,0,2025-06-30,9.0,112618500.0,12513166.666666666,0.35,0.03888888888888889,77.0,8.555555555555555,7.0,2025-08-13,2026-03-23,1.0,0.0,1.0,0.0,2025-10-05,1.0,0.0,0.0,5000.0,2025-07-02
C00072,F,1971.0,Hải Phòng,2024-03-10,Referral,0,2024-03-10,12.0,343140450.0,28595037.5,0.55,0.04583333333333334,84.0,7.0,9.0,2024-06-22,2026-03-24,1.0,1.0,0.0,1.0,2024-07-14,2.0,0.0,0.0,10000.0,2025-04-18
C00073,F,1976.0,Cần Thơ,2024-01-19,Facebook,0,2024-01-19,15.0,187394900.0,12492993.333333334,0.75,0.05,76.0,5.066666666666666,13.0,2024-02-20,2025-12-26,1.0,1.0,0.0,0.0,2024-04-04,2.0,0.5,0.0,45000.0,2025-12-20
C00074,M,1982.0,Hà Nội,2025-05-26,Facebook,0,2025-05-26,12.0,88486450.0,7373870.833333333,1.35,0.1125,48.0,4.0,10.0,2025-06-13,2026-01-28,0.0,0.0,0.0,0.0,,2.0,0.5,0.0,0.0,2026-02-27
C00075,F,1973.0,Buôn Ma Thuột,2024-12-18,Website,0,2024-12-18,11.0,196341900.0,17849263.636363637,0.8,0.07272727272727274,73.0,6.636363636363637,10.0,2024-12-20,2026-03-02,1.0,0.0,0.0,3.0,2024-12-23,3.0,0.3333333333333333,0.3333333333333333,45000.0,2026-03-13
C00076,M,2001.0,Cần Thơ,2023-09-14,Website,0,2023-09-14,8.0,275486950.0,34435868.75,1.25,0.15625,71.0,8.875,7.0,2024-02-15,2025-10-26,1.0,0.0,1.0,0.0,2024-03-30,0.0,0.0,0.0,0.0,
C00077,F,1986.0,,2024-10-03,Facebook,0,2024-10-03,5.0,70907250.0,14181450.0,0.5,0.1,50.0,10.0,5.0,2024-10-10,2026-03-14,2.0,1.0,0.0,4.0,2024-10-28,5.0,0.2,0.0,75000.0,2026-03-11
C00078,F,1972.0,TP.HCM,2024-02-14,Shopee,0,2024-02-14,12.0,105481750.0,8790145.833333334,0.6000000000000001,0.05000000000000001,70.0,5.833333333333333,7.0,2024-03-09,2026-01-03,0.0,0.0,0.0,0.0,,5.0,0.6,0.2,35000.0,2025-10-18
C00079,M,2001.0,Buôn Ma Thuột,2024-10-16,Facebook,0,2024-10-16,10.0,157167454.0,15716745.4,1.3,0.13,47.019999999999996,4.702,8.0,2025-01-08,2026-03-12,2.0,0.0,1.0,1.0,2025-02-28,2.0,0.5,0.0,40000.0,2025-10-01
C00080,M,2001.0,Cần Thơ,2023-11-03,Google,0,2023-11-03,8.0,108347600.0,13543450.0,0.6000000000000001,0.07500000000000001,52.0,6.5,6.0,2023-12-31,2025-04-12,1.0,0.0,1.0,0.0,2024-02-11,1.0,0.0,0.0,10000.0,2024-02-12
C00081,M,1986.0,Khác,2024-02-10,Shopee,1,2024-02-10,11.0,198337650.0,18030695.454545453,0.7,0.06363636363636363,57.0,5.181818181818182,9.0,2024-08-25,2026-03-06,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
C00082,M,1998.0,Nha Trang,2025-02-10,Website,0,2025-02-10,14.0,111385650.0,7956117.857142857,1.25,0.08928571428571429,92.0,6.571428571428571,13.0,2025-05-28,2026-02-17,0.0,0.0,0.0,0.0,,4.0,0.5,0.25,40000.0,2025-08-03
C00083,F,2002.0,Nha Trang,2024-08-27,,0,2024-08-27,13.0,206724910.0,15901916.153846154,0.65,0.05,75.03999999999999,5.772307692307692,9.0,2024-09-12,2026-03-21,0.0,0.0,0.0,0.0,,2.0,0.5,0.0,0.0,2025-12-19
C00084,M,2004.0,Thủ Đức,2025-01-03,Google,0,2025-01-03,16.0,196614550.0,12288409.375,1.4,0.0875,104.0,6.5,12.0,2025-01-09,2026-03-18,1.0,1.0,0.0,3.0,2025-03-10,4.0,0.75,0.25,100000.0,2025-10-28
C00085,M,1981.0,Buôn Ma Thuột,2023-12-30,Google,0,2023-12-30,9.0,111557750.0,12395305.555555556,1.1,0.12222222222222223,67.0,7.444444444444445,8.0,2024-04-04,2026-01-11,2.0,1.0,0.0,5.0,2024-05-21,2.0,0.5,0.0,20000.0,2026-02-16
C00086,M,1976.0,Bắc Ninh,2023-11-08,Google,0,2023-11-08,6.0,201332550.0,33555425.0,0.8500000000000001,0.1416666666666667,46.0,7.666666666666667,5.0,2023-11-20,2026-01-18,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,2026-03-09
C00087,M,1991.0,Huế,2023-11-08,Website,0,2023-11-08,13.0,124060200.0,9543092.307692308,1.3,0.1,87.0,6.6923076923076925,10.0,2023-11-28,2026-02-25,1.0,1.0,0.0,2.0,2024-01-06,2.0,1.0,0.0,20000.0,2026-03-19
C00088,,1979.0,Cần Thơ,2024-03-25,Referral,0,2024-03-25,14.0,222525950.0,15894710.714285715,1.45,0.10357142857142856,81.0,5.785714285714286,10.0,2024-10-03,2026-03-20,1.0,0.0,0.0,0.0,2024-10-24,2.0,0.5,0.5,0.0,2025-06-12
C00089,F,1969.0,Buôn Ma Thuột,2025-05-20,TikTok,0,2025-05-20,9.0,263379605.0,29264400.555555556,0.85,0.09444444444444444,83.00999999999999,9.223333333333333,8.0,2025-06-08,2026-01-19,1.0,1.0,0.0,5.0,2025-06-08,1.0,0.0,0.0,5000.0,2025-11-28
C00090,M,1992.0,TP.HCM,2024-02-26,TikTok,0,2024-02-26,9.0,100408900.0,11156544.444444444,0.7,0.07777777777777778,66.0,7.333333333333333,8.0,2024-05-24,2026-02-08,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,20000.0,2026-01-26
C00091,M,1982.0,Đà Nẵng,2025-03-25,Google,0,2025-03-25,14.0,230732150.0,16480867.857142856,1.2,0.08571428571428572,79.0,5.642857142857143,12.0,2025-05-06,2026-02-28,3.0,0.3333333333333333,1.0,2.5,2025-06-20,2.0,1.0,0.5,25000.0,2025-12-26
C00092,M,1984.0,Vũng Tàu,2023-08-01,Referral,0,2023-08-01,12.0,77304500.0,6442041.666666667,1.1,0.09166666666666667,63.0,5.25,9.0,2023-08-14,2026-02-06,1.0,1.0,0.0,1.0,2023-08-17,1.0,0.0,0.0,0.0,2025-07-13
C00093,M,1994.0,Thủ Đức,2024-08-23,Referral,0,2024-08-23,11.0,78927250.0,7175204.545454546,0.75,0.06818181818181818,45.0,4.090909090909091,9.0,2024-09-17,2025-12-13,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,10000.0,
C00094,F,1982.0,Bắc Ninh,2025-05-17,Website,0,2025-05-17,15.0,176545050.0,11769670.0,1.0,0.06666666666666667,102.0,6.8,10.0,2025-05-23,2026-03-19,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,50000.0,2026-01-09
C00095,,2003.0,Hà Nội,2024-08-22,,0,2024-08-22,7.0,230487600.0,32926800.0,0.8,0.1142857142857143,68.0,9.714285714285714,6.0,2024-10-04,2026-01-23,1.0,1.0,0.0,4.0,2024-10-18,5.0,0.4,0.0,110000.0,2025-08-08
C00096,F,2003.0,Cần Thơ,2025-06-22,Facebook,0,2025-06-22,13.0,297315100.0,22870392.307692308,0.55,0.04230769230769231,102.0,7.846153846153846,13.0,2025-07-13,2026-03-23,1.0,0.0,1.0,0.0,2025-07-18,2.0,0.5,0.0,25000.0,2025-11-14
